,text,label
4429,vvv930 国未来的一场大战略，通过未来石油的大规模供应，最终会迫使全球资本市场在防御未来的通货膨胀中，唯一的选择是全球粮食市场，这是美国最大的战略。未来，世界粮[兔子]食溢价全球市场的形成，将是美元最辉煌时代 ​,1
407,"不知不觉微博吃瓜半小时 
然后发现星星妹要回家了 真滴[酸]
我不能再玩手机了！不能了！做题做题！
回家等我一起过元旦@易家小肥鹤儿呀 [美国队长] ​",0
891,估计刘菊花和方尔瞻都是不戴口罩，也不穿内裤的//@走马微天下:没毛病，著名科学家方舟子说戴口罩和不戴口罩几乎没有区别！所以，民主的美国人民有不穿内裤的自由，当然也有不戴口罩的自由！[允悲]//@林岳芳:他们是在拿自己的生命开玩笑。[允悲][允悲][允悲],1
2345,//@海钓大佬刃我行:早就觉得反口罩的人也一样会反疫苗的了[doge]#纽约抗议者烧口罩反疫苗#//@海钓大佬刃我行: “即使疫苗问世，也只能保护积极接种疫苗的人群，而全球实现普遍接种的时间可能要长达数年”。。。这个预测太乐观了，灯塔国那群人连口罩都不肯戴呢//@萨尔茨堡的魚: 宛若封锁人类步伐的智子,1
3485,"#公众号抱朴财经#这是一组茶叶的故事，从300多年前开始讲起，描述这一“中国仙草”如何深刻影响了世界贸易格局。
它为中国带来了堆积如山的白银和两次鸦片战争；它在英国演绎了无数的财富神话并促使英国人去改变了世界的版图和地貌；它甚至推动了美国的诞生。在宏大的叙事框架下，是一个个具体的小故事 ​​​",0
3753,安抵底特律～论各国防疫～墨西哥登机安检的时候所有包都打开～抽样检查每件行李是否有病毒～刚刚经历史上最快美国入海关～从下飞机到出关全程5分钟～快到什么表什么机器打单都省略了～省到连量体温都没有😂😂😂[允悲][允悲][偷笑]两个方法看上去各有利弊啊[偷笑][偷笑][偷笑][偷笑]  ​,1
512,//@-罐儿-:…//@画画的张旺:[衰]//@诛砂:太尼玛吓人了。。//@领事杂谈: 我去[吃惊]//@北美票帝:不过，美联航事后处理也很奇葩，将死者运下飞机后，他的座位仅简单擦拭后，原机继续前往洛杉矶。第二天，这架编号为N37466的波音739飞机继续执飞美国国内及墨西哥航线...,1
501,曾成功预测前苏联崩溃的挪威学者约翰·加尔通，他在1999年出版了一本书《美帝国的崩溃》，他预测美帝国将于2020年崩溃。 难道真要应验了？！ ​,1
4590,【阿雷西博天文台的所在地波多黎各也是美国的一处特殊领土。其全称为波多黎各自治邦，属于美国领土，但并不隶属于美国任何一个州，由国会直管，政区类别为自由联邦。作为美国的自治区，波多黎各居民也是美国公民，但是他们没有美国总统选举的投票权，但有权选举一名无表决权的美国众议院专员】,0
2380,//@导演戎震://@地瓜熊老六:反正上海的房子，买不回来了，在日本好好享受美国肺炎吧[允悲]//@萨瑟里斯·安多哈尔:性玉啊，卖了上海的房子跑日本，已经疯了,0
809,【共同实践演出、共享19门课程，上音迎来59名来自国际友校的“新上音人”】2020年末，我音迎来一批来自美国旧金山音乐学院、曼哈顿音乐学院和新英格兰音乐学院的中国籍“留学生”。11月起，这59名“新上音人”正式入校，进行为期一个学期的交流学习。新学期的课程仍是以海外学校网课为主，同时在上音相 ​,0
1068,"美国有护理人员接种辉瑞疫苗后出现严重过敏反应
美国纽约时报报道，阿拉斯加一名护理人员接种辉瑞研发的新型冠状病毒疫苗之后，出现严重过敏反应。
报道引述3名熟悉有关健康报告的人士指，该名护理人员是在当地星期二接种疫苗，之后出现严重过敏，送院治理，目前情况稳定，暂时未知他过去有无严重过敏 ​​​",0
4443,回复@whatever_danny:你这个主意我可太喜欢了！//@whatever_danny:回复@座圣斗士:美国会不会像中国道歉，并且割让夏威夷，改变美国在中国的形象呢？毕竟形象很重要[doge][doge],1
2144,"两岸和平统一的可能性有多大？周志怀称，要让台商从心底支持统一 ​​​​。你觉得怎样？[思考]

#如何看待男明星代言化妆品#
#美国单日新增新冠确诊超20万例# ​​​​",0
2697,美国大学RD截止时间！申请美本的同学注意提前规划哦！#美国留学# 早咨询添加微型 liumeizixun ​​​,0
669,"《国内单身帅妈混血娃！美国试管婴儿爱心助力生产播报！》http://t.cn/A6Gu2ZXt 
国内计划生育者→赴美试管婴儿的坚定决心与诉求。而这位如今已经从单身身份升级为单身宝霸气主人公，也表示愿意将自己的案例与萌娃向更多计划生育的朋友公开分享!#上海美国俄罗斯北京杭州试管婴儿##海外生子# ​",0
1963,"美国洛杉矶发布紧急防疫命令
 美国洛杉矶市长当地时间周三警告称该市已接近“毁灭性的”临界点，要求民众待在家中，避免社交活动 ​",1
2540,美国很多年轻人从高房价地区搬家到低房价地区，例如从加州搬到德州，或者从纽约搬到德州。然而，国内却很少见到这种现象。国内年轻人是从低房价的家乡搬到高房价的北京杭州深圳广州。什么时候年轻人都搬到重庆成都，并且形成一种潮流时，这个国家的多元化价值观才真正形成了，我期待这一天早点到来。 ​​​,1
