,text,label
698,"#约翰尼德普[超话]# 普老师ig今日官方营业：
“《黄金瓦罐：与谢恩·麦高恩的几回合》将在12月1日仅一晚的特别活动中，于美国和加拿大的影院上映。
英国和爱尔兰影院将于12月4日上映，澳大利亚将于12月17日上映。
12月4日起，这部电影可在美国和加拿大的家庭数字平台及DVD上播放。12月7日起，英国和爱尔 ​",0
2391,//@猪肉王子GG: 怎么说呢，既然有脑残选择去美国，其实想想也没有什么了不得，美国排华他们遭罪的时候我们也只能说句活该,1
4075,//@驭风的胖子:时代背景下沉不住气 2020早隐私满网飞 2077全员受监视并不奇怪[摊手]//@军武季:美国麻省理工学院《被监视的作家》列出16位被监视监控的作家，其中有海明威，海明威传记作家A.E.Hotchner证实且根据信息自由法令，诉至法院迫使FBI 公布了海明威的的文件，证实监视过程。如果你认为美国全是,1
438,"外媒问是否会将月球样品分享给NASA？

国家航天局：能否合作取决于美国政府的态度。  

     #路透社问中国会否把月球样品分享给NASA#     #我国首次月球采样返回任务完成#   ​​​​   ​​​​   ​​​​   ​​​​   ​​​​  http://t.cn/A6qx7nNm ​​​ http://f.video.weibocdn.com/000oushGgx07IRIv5oAg010412006zo10E010.mp4?label=mp4_720p&template=720x1134.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1608360868&ssig=HFHnSUKDux&KID=unistore,video",1
1190,//@冉阿让773:膝盖下压着的不是niggers？//@疲惫的太阳Orz:。。。。//@真主钦点仁波刀:我都不知道今年的美国制片方咋想的。因为疫情原因，美国本土的拍片量和票房非常有限，很大程度上要指望中国市场回本。你这不是找赔本么…,1
966,美国疾控中心确认，将不再更新PUI（接受调查的患者），也不再更新新冠检测呈阴的人。因为每一个州都开始进行更多的检测，这些数据无法代表国家层面的测试，再加上CDC和各州之间可能出现差异，应该以各州的统计数据为最新数据#第三代试管婴儿##泰国试管婴儿# ​,0
483,对呀对呀，美国现在疫情防控的那么好，总统换届那么和谐那么顺利，中国媒体却还在欺骗群众们抹黑美国政府[二哈]//@爸爸领儿遛遛去:CNN的新闻能信吗？有了中媒一加持，老百姓也就都信了！,1
2075,@美国驻华大使馆//@美国驻广州总领事馆//@欧盟在中国 ：线性代数--基变换与坐标变换 -- ​​​,0
2702,#美国新冠肺炎超1386万例# NBA球员检查48名感染新冠，数字增加中！这下相信这会传染吧！ ​​​,0
4986,【刘煜辉：中国股市已进入牛市，美国可能推出“罗斯福”新政！】我们看资本市场，从2019年之后到今天，事实上已经进入了一个牛市……这个市场是牛市，它有它的特点。我们正在打造第三个国运，这个国运是什么？一... (分享自 @爱股票APP)  http://t.cn/A6q2exFY ​,0
4202,【#外交部回应美国将中国称为头号威胁#】据报道，美国情报总监3日称中国是“头号国家安全威胁”。华春莹表示，谁是世界和平的维护者，谁是国际秩序的破坏者，国际社会一目了然，包括美国的盟友也非常清楚。权威国际民调显示，45%受访者认为美国是这个世界的重大威胁。@人民视频 http://t.cn/A6qvByod  ​,1
2616,缓缓打出了一个问号？？然后....我们国家不容忍邪教 不想有反智的傻逼//@法医秦明: 美国国务院开始制裁我国股级干部了。,1
2486,//@战神长征://@piggyprince小猪王子3:围观//@美国皇家: //@文明花开://@穆国龙: //@战神报料://@種u艸酶莓尐女://@谁来关注弱者生存://@检察认真: //@诤言无昧: //@66justice://@战神长征:@战神法老 @上海衙门朝南开没钱莫进来@保佑细妹 @战神报料,0
