,text,label
12," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",1
996,"Is that why they consider it an armed insurrection? I never saw them use flags but I guess it's better than frozen water bottles, bricks, and bullets they used in 500 peaceful protests.",0
848,#Breaking_News Media Law government Democracy #BIDENSAMERICA Idaho Mass Shooting at a MallPrayers Godspeed Healing and Recovery #Bluelivesmatter When guns are outlawed... only outlaws will own guns Gun control is population control ,1
611,"Alternate tweet: ""dog assists armed robbers"" ",0
276, The Kyle Rittenhouse judge is now discussing the fall of Rome in court,1
374,The gun is hanging so heavy that looks like he's urinating into the chip grab-basket.,0
686," In the knee-jerk reaction to George Floyd's death, the school system removed school resource officers, suspending a partnership with Seattle PD for a one-year period.  That worked out well.",0
511," yeah haha machine gun kelly is weed ok but no ones talking about how annoying it is for megan fox to tell someone they smell like weed. and also, what is a better response to that? i am weed is actually probably the best way to deal with that situation. i'm on his side now.",0
62, You should be aloud to shoot a fake gun in the NFL its called the second amendment,1
451,"Huge facts,new map, new gun, crypto dropped, wattson worked, the best pre season teaser, the hype was so great back then",0
9," Only thing is, an overwhelming majority of Canadians want less guns in Canada too. To the point of the CPC losing an election over their gun friendly policies. So there's that... #cdnpoli ",1
28," It has been 22 years since the Columbine massacre, and the only solution America has come up with to respond to school shootings is to keep practicing what to do during school shootings.Absolutely disgraceful.",1
193,And what does gun reform look like to you?,1
208,Todayng:  CAR declares unilateral ceasefire in fight with armed groups#africa #access #action ,0
375,2 million dollar idea:gun water polo,0
681," Once again, it's not that Kyle Rittenhouse is not guilty-It's that he never should have been charged in the first place",1
114, Exactly correct  Doing nothing will not solve gun violence.  I would love to discuss this further.  It is time to move the Senate on this. ,1
658,Kyle Rittenhouse,0
294,But if you lived in Kenosha a town that voted for the asshat judge you'd totally see the rioters were the problem and good ole boy Kyle is the real deal.,1
512," A 71-year-old was shot dead in Chicago's Chinatown this week. Alphonso Joyner, who has a history of gun charges, was charged with 1st-degree murder. Surveillance vid captured the shooter pulling up in a car & firing many times until Woom Sing Tse was dead. ",1
203," Water can be supplied to a 17-year old with an AR-15 semi-automatic rifle in public, but not people waiting on lines for hours to exercise their right to vote? What gives?",1
54,"It's bizarre how a public cricket figure like someone who I respect, goes on record with a comment like that and gets selective amnesia. Which gun are you sticking to?",0
633,"Yes. The rest of the world is understandably mortified that we tolerate so much gun violence so a bunch of tiny dicked, fearful guys can pretend to be tough",1
118," REMINDER:KYLE RITTENHOUSE KILLED 2 PEOPLETHEN HE WENT HOME, to a different state, AND WENT TO SLEEP.",1
569," The Naked Gun premiered OTD in 1988. Nobody did deadpan like Leslie Nielsen, here are 2 minutes of Lieutenant Frank Drebin in action. ",0
846,"In a WELL-Regulated Militia,citizens know who is & who isn't deputized,when emergencies occurArmed citizens who showed up in Kenosha & presented themselves to police, did their part.The police screwed up by letting an untrained 17-year-old childthink that he was deputized",1
492, A man who survived being shot by Kyle Rittenhouse during a protest last year against police brutality in Kenosha has filed a federal lawsuit alleging police enabled the violence by allowing an armed militia to have free run of the streets during the demonstration.,1
413," A champion of human rights, successfully put forward an amendment to the National Defense Act (NDAA), which called on  to determine if actions in Tigray by the Ethiopian and Eritrean armed forces is genocide. The NDAA passed the House a few hours ago.  ",0
92," Deploy our active duty military to the border, finish the wall, eliminate any threat to our security, including armed thugs. ",0
783," Republicans should push the Alec Baldwin Protection Act, mandating a gun safety course for anyone working on a set with firearmsWould also serve to counter the Cathedral's attempts to stigmatize guns as self-detonating totems of evil by forcing casts to become familiar w them",1
957, Responsible gun owners don't give their children access to guns.,1
256, Texas..the state where children wearing a piece of cloth on their face to save lives is considered child abuse but regulating guns to stop school shootings is considered a violation of rights.,1
503, fun fact: gun parts & gummy bears is the name of Chris Meloni's punk band ,0
130, Without the 2nd amendment our elites wouldn't hesitate to lock us down Australia style.,1
103,I just sent an urgent message telling my NJ lawmakers to pass life-saving gun bills. Send yours a message now: #NJPolitics #NJLeg @momsdemand,1
759,#TigrayGenocide continues unabated using armed drones and operators imported from #UAE #Turkey #China & #Iran. Civilians killed & infrastructures destroyed. #stopArmingethiopia  @ausgov,0
823,Armed minorities are harder to oppress.,1
963, No AD yells COLD GUN The armourer or prop person is supposed to PERSONALLY show you the gun so you can see it is empty for yourself. Then I dry fire it into the ground. I have NEVER been handed a gun by an AD & I've been handed 100 guns & I've never heard COLD gun in 40 years,0
691," armed Belgian Air Force F-16AM [FA-118] near Shuwayrah, about 40km south of Mosul on 9 Aug 2021 ",0
495,"I keep seeing this, and it keeps getting more vile with every reading. The *gun manufacturers* trying to character-assassinate *dead children* as their defense in the aforementioned dead children's parents are lowest of the lowthe very worst of humanity. ",1
487,"20,000 gun laws in America and yet this still happened, damn it's almost as if they don't do a damn thing",1
851,Would that tourist have had a gun but for the lack of permitless carry?,1
76,"I was a little bummed when Batista said F that kid about Kyle Rittenhouse, but whatever I guess..",1
953," p'kwang(1) competing in take pics of the sky with gun atp(2) i saw it first, but he uploaded it first = i lost (?)  ",0
946,Thanks for asking.The award-winning story of a mass shooting and old summer love.,0
915,"Just like gun nuts, these people don't know how tanks work.",0
924, 3 things you all should obtain1. a plot of land2. a gun3. seeds & a few chickens,1
869," Interesting to see Press Secretary for celebrating Rittenhouse in Florida where my daughter was murdered by another teenager with an AR 15 in Parkland, Fl.  Christina, I remember when your boss once acted like he gave a shit. ",1
950,"They both make me uncomfortable. First is on the left, that red gun is so tacky. Second is guy on the right with a scoped rifle and a gas mask on. Not a good idea. Should have gone with the red dot. But Kudos to them ALL for trigger awareness!!!!",0
444," The last walk wey I do, na so dem bundle me, strip me naked, brutalize and dehumanize me. I no carry gun, I no carry weapon. As dem dey beat me, dem dey ask why I dey disturb Mr Governor. Now dem say make I come do walk. For another round of beating??",0
665,"""I'M SIDNEY PRESCOTT OF COURSE I HAVE A GUN"" PORRAAAAA",0
977," Advice for women to be safe around men : carry a gun, pepper spray, knife. Install cameras. Share location. Check backsea",1
961," I find it still so strange that the AAA industry creates games for Gamers whereas the opposite is true for other methods of storytelling or entertainment. We have niches and genres, yes, but I can think of very few AAA narrative games wherein you aren't given a gun. ",0
263, Retweet if you managed to make it through the entire life without needing an assault weapon.,1
302,"Fuck you mean? They didn't see or hear a gun, none of the victims said anything about a gun, there were no gun wounds. They never even tried to arrest the suspect.",1
18," Paid my last respects to Gen Bipin Rawat, his wife and other personnel of the Armed Forces. India will never forget their rich contribution. ",0
95," When the mainstream media found out they couldn't blame yesterday's high school shooting on the NRA, they stopped talking about it. ",1
286," Currently re-watching on Amazon and there's literally a sex, drug or gun scandal every season lol ",0
777,Flip flopping is actually a good thing now - Ivison #Elxn44 #cdnpoli,0
268, WHAT THE HELL?!?!  THIS GUY ALLEGEDLY JUST WAGED A MASS SHOOTING IS OUT ON BAIL --PAYING HIS ASS OFF.  Bail was set at just 75 GRAND.  WTF ?!?!?' ,1
567," In 2020, more than a thousand people died in the U.S. from police shootings. African Americans are more than twice as likely to be shot by officers than white Americans.  People are taking to the streets to draw attention to the problem.  #features ",0
