,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
0,0,0,0,414,He advocates that the #LGBTQ people should be killed. WTF!,1
1,1,1,1,728,I oppose him because he has had no real balls to stand up to neither LGBT's nor the federal government. Next!,1
2,2,2,2,300,"Wait, aren't these Chechnyan soldiers? What does that homophobic BS have to do with Ukraine? lol",1
3,3,3,3,807,RT 3 is always better than 1 #gayporn #gaysex #Onlyfans #porn #Lgbtq #oral #masturbating #str8bait #bigdick #bigwhitecock #bwc #Twinks #whitedick #bigcock #bigdick #tiktok #straightguys #trending #gay #baits #straightbaits #oralsex #straightdudes #gayguys #horny #foursome ,1
4,4,4,4,529,"RT joe u are such a wonderful and such an incredible role model for young lgbtq people, growing up without queer role models made me feel so abnormal and unusual for being queer so i am so thankful to now have u exist in my life <3 we love u sm",1
5,5,5,5,933,RT Fully ONE IN FIVE Gen-Z adults now identify as LGBTQ. And you can guarantee that they will NOT be voting for the anti-LGBTQ party.,1
6,6,6,6,1056,you rock! You are a beacon for the LGBT+ community and my personal favorite actress in the industry,1
7,7,7,7,844,RT Thats how I feel about all the groups that once supported people with same-sex sexual orientation. The hate group narrative is despicable nonsense. What I feel is a sense of betrayal by groups that once supported LGB people and who now say everyone has a gender identity.,1
8,8,8,8,1052,Youre still avoiding to reply ? Freddy Krueger ? Ill apologize if you actually didnt mean something homophobic,1
9,9,9,9,1075,RT in 2050 high school bullies will love your two gay dads and hate you for having piece of shit vibes. this is the future the LGBTQ community wants,1
10,10,10,10,1104,"RT The church of Pentecost is out here demanding MPs reveal their votes on the consideration of the anti lgbt bill. Ghana twa poma ma na sin no tintin, what nonsense? If you dont understand the enshrined law on secret ballot then go and find a loaf of bread and eat. Mmoasem.",1
11,11,11,11,161,Not an excuse. Its an actual fact. We are a country with a high mortality rate when it comes to pregnancy. Also not everyone is just going out and having sex with everyone but if they are they shouldnt be forced to endure the trauma of birth,0
12,12,12,12,371,RT It's amazing how mad the right is about a journalist exposing far-right harassment accounts that encourage death threats and post fake news to invite violence against LGBTQ people.,1
13,13,13,13,188,"RT Today, on the International Day Against Homophobia, Transphobia, and Biphobia, I reaffirm my commitment to creating a world where everyone can feel safe and be themselves, regardless of their sexual orientation, gender identity, and gender expression. #IDAHOBIT2022 ",1
14,14,14,14,1066,"RT pink infinite #andywarhol,#warholfoundation,#warholpopart,#warhol_archive,#lgbtq,#modernart,#contemporaryart,#popculture,#urbanart,#popart,#fineart,#abstractart,#sexualorientationthemedart,#matisse,#vangogh,#basquiat,#picasso,#humanism,#munch,#lgbt,#digital,#digitalart,#NFT ",0
15,15,15,15,793,Last year during #Pride month I did some threads about LGBTQ+ characters in Marvel and DC comics. Theres loads more I could talk about. Should I do it again this year? ,1
16,16,16,16,475,RT this feels homophobic somehow idk I cant put my finger on it ,1
17,17,17,17,1018,"Not just one man, actually! People who worked with her said that for the last six months she has been too busy with her leadship campaign. She is known for championing LGBT rights and is very woke.",1
18,18,18,18,593,Unsurprising that a backwaters pastor doesn't know that sexual orientation is a protected class in many states but being unvaccinated is not.,1
19,19,19,19,666,RT Some media organizations in #Hungary have defied the outrageous anti-LGBT law by joining the #ugyanaz campaign raising awareness of the discrimination faced by #LGBT families. Its great to see Hungarian media are standing up for human rights! ,1
20,20,20,20,460,"Nah Ian homophobic, if youre gay the youre gay, every dolphin fan Ik is gay so Im used to it",0
21,21,21,21,218,"RT There are less than 100 days until Election Day. If youre ready to fight for Abortion access Public safety Voting rights Democracy LGBTQ+ rights Gun safety & more, we must elect Democratic AGs! #MobilizeForMidterms ",1
22,22,22,22,176,RT The only reason ace people arent considered to be apart of the lgbtq community is because the community is already sexualized and fetishized and people cant do that w people that are apart of the ace spec,1
23,23,23,23,960,"bruh what, how are you literally in the community when most fans are in the lgbtq-",1
24,24,24,24,165,"PRCE 0.05 ETH https://t.co/w9rbE9PQAQ One of the 200 nft gift can be yours 1- Buy now bare serial nft get 10NFT gift 2- Buy lgbt series nft now and get 1 NFT gift 3- Buy other serial nft, win lottery right for 150 nft gift #NFT #NFTs #NFTDrop #NFTGiveaways #NFTCollection ",0
25,25,25,25,52,I support reparations for my people who descended from chattel slavery as does he. His sexual orientation is not my business or concern.,1
26,26,26,26,192,RT Soon #smalltwitchstreamer #LGBT #twitchstreamer #SupportSmallStreamers #3from30 Show love and follow the channel Also the YT Ash's Corner on YouTube Batwoman profile pic,0
27,27,27,27,777,"Lgbt people are always on the right side of history only if you kill everyone who writes history, making yourself victor. Such a cringe statement, no offense. The police came in and arrested people why would that happen if there wasnt grooming? Also: ",1
28,28,28,28,489,"right-wing always fails, they slowly but constantly go more to the center, you don't hear politician talking about superior races and lgbt people as mentally ill, at least in the mainstream. their ""ideals"" become softer and softer otherwise they wouldn't be accepted",1
29,29,29,29,559,"RT Not sure what you're referring to, but I see a lot of WOMEN objecting to you promoting a homophobic misogynistic ideology. Also - how ageist of you",1
30,30,30,30,775,RT Another march down. We're not done fighting. This is the beginning. #GunControlNow #ReproductiveRights #LGBTQ #DeathSantis #VoteThemOut ,1
31,31,31,31,30,"Catholics call out the Church all the time, they check their religious leaders 10x more often than the LGBTQ questions their own leaders who be doing & saying nutty stuff. At some point you gotta wonder why the Right is gaining so much public traction while your movement is not.",1
32,32,32,32,732,youre implying ryoma is gay and should be punished??? kinda homophobic,1
33,33,33,33,599,"RT You not lying. live saying gay men are destroying the black community as if they not out here disrespecting black woman, being homophobic, etc. ",1
34,34,34,34,810,"RT Deves, recently admitted as a solicitor in NSW, and a former marketer for Treasury Wine Estates, has spent the week deleting, apologising for and reframing a string of offensive remarks about the LGBTQ community #auspol",1
35,35,35,35,115,"The Florida bill squashes the expression and consequently the existence of queer kids, staff and culture in school. Its purposefully vague so as to stifle speech, legal or not. Its supposed to make LGBTQ kids and teachers think twice before being themselves. 2/",1
36,36,36,36,129,RT Marching at the #OrlandoPride Parade was just incredible what a beautiful affirmation for each one of us to live life as our authentic selves! #LGBTQ #TransLivesMatter #Equality ,1
37,37,37,37,525,"I don't see anyone hating gay people. I see both left and right swallowing the LGBTQ alphabet soup and racing one another to keep up in their ""tolerance."" Case in point: Republicans rallying behind Bruce Jenner in his bid for governor of California.",1
38,38,38,38,406,RT just saw someone on tiktok call john watson homophobic did yall not hear his Its All Fine speech,1
39,39,39,39,1010," you couldnt be more blinded! While you have Ukraine flag in your bio, you should research Ukraine lgbtq laws. Wake up people!!!",1
40,40,40,40,153,Read to understand. Let me break it to your understanding. Holiday sex gave birth to beach boys. It's nothing new for a tourist to visit a destination and have casual sex with locals as part of their expedition. Won't be surprised if Zainab invited the security guard for sex.,0
41,41,41,41,1033,please DNI if you... are 17 or younger not edtwt are fatphobic is anti-recovery homophobic/transphobic/racist/ableist,1
42,42,42,42,157,"RT Queer community... you got that exactly right there. Bugger all to do with those of us in LGBT who don't call ourselves Queer. Try being homosexual without recognising biological sex, sunshine. It can't be done. #GetTheQOut",1
43,43,43,43,620,"RT #indiegames #indiedev #IndieGameDev #indiemusic #indie #indieauthor #science #laicism #TFSM #LGBT #LGBTQ #Infosec #100DaysOfCode #cybersecurity #javascript #code #WomenWhoCode #Python #gamedevs #GideonTheNinth #girlswhocode ""no more #gods #saviours #emperors #tzars or #tyrants"" ",0
44,44,44,44,716,"RT New short stories out now! #LGBTQ ""I found it chilling"" - Extin",1
45,45,45,45,1069,"Are you questioning whether LGBTQ children exist? If so, you are definitely part of the problem. Of course they do. ",1
46,46,46,46,294,"should be removed from office. She has no business in any place of authority. What kind of 1950s puke is this? Shame on and for ignoring her dangerous, homophobic and ignorant rants. ",1
