,text,label
0," I made it through my entire life without needing to own an AR-15, what about you? ",1
1," Make No Mistake: A primary reason for the GOP's Unwavering Support of Unfettered Gun Owner Rights in the face of widespread USA gun carnage is their desire to heavily arm White Supremacists in America, in anticipation of the #SecondCivilWar Republicans are planning.",1
2," This is my world - everyday I walk into my classroom and think, Is this the day my family gets the call? It's really not difficult..other countries have done it after far fewer deaths.",2
5,There's nothing more simple and logical when reducing gun violence than reducing guns.,2
6," So serious question pro gun Republicans. Why is it when we have complete control of the ship you guys don't advance hardly any pro gun legislation? Where's the HPA, National Carry Reciprocity? Why did we lose bumpstocks? What's this Take guns first crap? @NRSC",1
9," Only thing is, an overwhelming majority of Canadians want less guns in Canada too. To the point of the CPC losing an election over their gun friendly policies. So there's that... #cdnpoli ",1
10," Another week of needless gun deaths.Our inaction on gun safety, ghost guns, and gun violence has created a tragic version of Groundhog's Day.What will it take for us to wake up? ",2
12," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",1
13,Really? There have been 72 fatalities in rampage school shootings over the last decade. An American student is far more likely to die being struck by lightening than be murdered in a rampage school shooting. ,-1
14," UPDATE: Governor Newsom signs SB 264 (Min), which bans gun shows at all state-owned properties ONLY in Orange County.  As CRPA warned the OC Fair Board, this prohibition will destroy their budget while doing NOTHING to fight crime.  CRPA is already preparing the legal challenge! ",0
15, John Oliver on gun safety ,0
16," Murdering babies is NOT a constitutional right. Gun ownership is.Kavanaugh asks if Texas abortion law could be model for bans on gun rights, free speech - Newsweek ",-1
17, Anti Palestinian racism so deep that armed Israeli soldiers snatch children from their classrooms and US journos/politicians want to lecture us on humanity and civility. Zionist settler violence is an exemplar of hate but racism conditions Americans to see us as the problem. ,0
19, Them turn knockout to gun ,1
22, The majority of Virginians support common sense gun reform. My opponent doesn't. We lose hundreds of Virginians every year to senseless acts of gun violence and we must honor them with action. Virginia needs a Lt. Governor who's not afraid to stand up to the NRA.,2
23," Dear tweeted about Kyle Rittenhouse killing 2 and wounding another in Kenosha, Wisconsin.Why haven't you tweeted about Darrell Brooks, Jr. killing 6 and wounding 61 others in Waukesha, Wisconsin? ",-1
24,"Tell me again, how does a gun kill people? I have many guns, not one has ever gotten up, gone to the front porch, and murdered anyone. How many people are killed with knives, spoons, garden tools, abortionists? Yea, you may need to rethink that approach.",-2
25," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",0
26, BREAKING: A father in Ohio fatally shoots his 16-year-old daughter after mistaking her for an intruder in their home. His wife says it was a mistake and he just didn't know what was going on.  IF YOU THINK WE NEED REAL GUN LAWS NOW!,2
28," It has been 22 years since the Columbine massacre, and the only solution America has come up with to respond to school shootings is to keep practicing what to do during school shootings.Absolutely disgraceful.",2
29, Feds lose the plot on gun crime.These criminals aren't deterred by the Criminal Code when it comes to using guns.The idea they would fear provincial laws or municipal bylaws is beyond naive.,-1
33, Chipman's declaration that anyone who opposed his nomination supports gun violence gives you some insight into why his nomination was so controversial from the beginning. Same for his claim gun owners don't care about stopping crime or that it's easier to buy a gun than a beer. ,-1
34, There were no shootings during Bayou Classic this year. That's a big deal. A win for us all.,1
36,"Of the perpetrators of the 10 worst mass shootings in US history, 4 of them are now known to have been domestic abusers. ",1
41,If he was shooting the gun as part of a scene your analogy is sound.  If he fired the gun outside of the realm of shooting the scene (even a practice draw) he is culpable.,0
43,"  REVEALED: Conservative MPs Opposing #OwenPaterson Lobbying Suspension have Second Jobs Worth 1 MillionThe MPs publicly supporting Andrea Leadsom's amendment have considerable external interests, reports ",0
44," Gaige Grosskreuts travelled 51 miles to be in KenoshaKyle Rittenhouse travelled 21 miles to be in KenoshaThe media is outraged that Kyle was there.But why is no one asking the question, ""what was convicted criminal Gaige Grosskreutz doing in Kenosha with an illegal gun?""",-1
45, Stop and really think about this.Instead of passing laws to minimize school shootings we are teaching our children how to avoid being murdered while at school.,2
46," [News Headline Desu!]Sword Art Online Alternative ""Gun Gale Online"" Volume 11 -Fifth Squad Jam <Part 1>- has been listed on Dengeki's lineup for November this year.",0
47, Fuck the NRA and fuck the moderate Democrats who stop us from abolishing the filibuster that's killing the American people.,2
49,"Yup it's been shootings everyday and they just shot up a food cart the other day. It's ridiculous. Yet the state is beautiful depending on what you do. I go camping, fishing in eastern, southern, central Oregon. It's a very beautiful state.",1
50," Labor captain's pick for Hunter followed sexually suggestive, gun-toting Instagram profiles ",0
51, NEW: Data collected by has found that the 2021 back-to-school period has seen the highest number of gunfire incidents on school groundsa figure that has nearly doubled from the previous high. ,1
53, Remember: early voting has already started! You can find info on your local Gun Sense Candidates (as well as @TerryMcAuliff,1
56, I don't see many Australians making fun of US gun laws anymore.,-1
58, Who else wants MORE Democrats to fight fire with fire like Gavin Newsom - who pledges to model an assault weapon ban on Texas' abortion law?,-1
59,"It does. You know what isn't a solution to bullying? A fucking gun. This is why I said basic shit. Of course the kid can defend themselves against other peers, but it's not the child's responsibility to defend themselves against actual fucking criminals",2
