,text,label
2594,#叙利亚孩子追赶垃圾车寻找食物# 生活现状堪忧当地时间12月1日，叙利亚伊德利卜境内的难民营地中，孩子们追着一辆运输垃圾的车辆，寻找食物。据外媒报道，叙利亚西北部至少有150万难民是儿童。@美国驻华大使馆 看看你们造的孽，你们的上帝正在给你们以惩罚，你们犯下的罪正在用另一种方式偿还给你们自 ​,0
3904,"【美国如何应对大国崛起？俄专家提醒：可能培养中国版的戈尔巴乔夫】据俄罗斯卫星通讯社12月14日的报道，俄罗斯自由民主党领导人弗拉基米尔·日里诺夫斯基在该党的第32届代表大会上表示，美国和西方世界目前正在做的，就是""动摇中国""，""俄罗斯想怎么活随它去""，""我们（美国、西方）要攻击中国""。那美国 ​​​",1
427,还好有咸鱼@乡村教师代言人-马云 滨海的事怎么解决？叙利亚问题怎么解决？在自己家国土放火，还没打玩，禁止美国出境，先试试。多种点粮食，一般情况不敢说，编个故事是真的怎么办？算了吧，我就做了个梦，估计头不行，老哭。还是Win10好，我什么时候改的系统，垃圾微软。打死他们，我要钱。 ​​​,0
4392,//@Finance鸟不飞 :是这样，如果德国当年跟美国合作对人类多么有利，1938年德国就搞出了原子能实验装置，更别提美国免费获得的火箭推进技术了。//@谁有乾坤圈 :单从科技角度来看是这样，合力协作比闭门造车要强。问题是美国认为中国不配拥有高科技，只能造袜子，搞055是谋反。,1
107,《中国人工降雪让美国人发愁，印军这是要“雪上加霜”了，却不警惕》此视频已有7.2万次播放http://t.cn/A6qybIqL ​​​,0
991,"#金硕珍心动时刻#🌕#金硕珍1204种心动瞬间# 
美国女演员/喜剧演员/作家/制片人/导演敏迪·卡灵（Mindy·Kaling）更新了她的📷账号，上传了一张ps的照片，并配文“Jin on Min”
女演员Reese Witherspoon和时尚博主Wendy Nguyen也回复照片
  —— 又体验了一把跟名人一起追星的感觉[笑哈哈] ​",0
3915,//@甜柾果酱:套//@何时跑路:全球唯一𝐓𝐎𝐏田柾国🔥自作曲《Stay》空降美区iTunes和红绿条全专非主打🔝【第一】☝顺位皆仅次于主打🔝超越主打登顶美国亚马逊达成单曲销量【五榜第一】大满贯🏆并登顶【亚马逊2020年榜❗总榜❗第一❗】Stay在歌单顺位倒一劣势下依然取得优秀成绩🥳真金白,0
4996,"#南京大屠杀每隔12秒就有一人遇难#【勿忘历史！2分14秒南京大屠杀真实影像】#19371213#  #公祭日#1937年12月13日，侵华日军攻占南京，进行了长达六个多星期的大屠杀。美国人约翰·马吉冒着生命危险，用16mm摄影机秘密地将日军在南京的暴行拍摄下来。在马吉拍摄的南京大屠杀影像中，可以看到有人冒着生命 ​​​ http://f.video.weibocdn.com/xAllXXPylx07IJGOXKIo01041200oByK0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1607880366&ssig=gggEfY3IRp&KID=unistore,video",1
861,【特朗普佐治亚州再现“咆哮式”疯狂演讲：2024年我们会赢回来！】当地时间12月5日晚，特朗普在佐治亚州举行了大选后的第一场造势活动，为两位共和党参议员拉票。演讲中，特朗普反复强调“将在2024年赢回白宫”，并宣称自己的团队使“美国更安全”，而当日约有2500名美国人死于新冠。@青蜂侠Bee  ​,1
3211,"【美媒：#奥巴马表示将在合适时机接种新冠疫苗#，并可能在电视上播出过程】据美国有线电视新闻网（CNN）当地时间２日报道，美国前总统奥巴马表示，他“完全会”计划在合适的时机接种新冠疫苗。奥巴马还称可能最终会录像，以提高公众（对疫苗）的信心。

报道称，奥巴马在接受定于3日播出的“天狼星XM（ ​​​",1
212,英国富时罗素先下手了：移除被美国列入黑名单的8家中国公司 http://t.cn/A6q7eT44 ​,0
2882,//@黑貔貅俱乐部:既然大家还不相信明年的通胀尤其是大通胀要来，那就继续等吧，到美国cpi4%我都觉得太悲观了，通胀是一种税，听说1989年小店的马桶垫都被抢光，30年后，这一代人的记忆也都结束，不曾记得当时的疯狂。通胀到美联储坐不住，通胀到高科技股一个个崩，通胀到开始怀疑纸币。铜价从5年最低到,0
3645,🔥田柾国全球唯一大𝐓𝐎𝐏🔥美国最多读者《People》杂志最性感国际男士【唯一】提名韩国爱豆+【唯一】最终获胜的韩国艺人🏆美国最具影响力男性杂志《Esquire》【2020年度最难忘的人物】【唯一】韩国爱豆🔥无论如何都是【唯一】🔝美国唯一人气断层大TOP🔝欧美个人认知度一骑绝尘👑,0
127,"《美国试管婴儿促排卵方案是怎么样的？这几点要注意！》http://t.cn/A6GuAeEM 
美国试管婴儿发展迅速，不仅率先研究出第三代试管婴儿技术，还在试管婴儿成功率上做到了全球第一。美国一直以来医疗水平都非常先进，那美国试管婴儿的促排卵方案如何？有哪些要注意的地方？ ​",1
3200,《绿媒节目称“大陆人以为中国第一个登月” 台网友看不下去了》绿媒5日一档政论节目提到大陆“嫦娥五号”登月一事时，主持人声称“大陆人都以为中国第一个登月”，不知美国“阿波罗11号”的存在。http://t.cn/A6qwJLcw ​​​,0
893,"剧本下一页：芳芳·菲克纽斯女士背中七枪，自杀身亡[doge]
当芳芳开始写美国日记：吹哨人被打压，底层人民被这样对待！ UP主: 留学生日报#bilibili# http://t.cn/A6q4qeXd ​",0
3064,#晶•视频# 【“吃不胖”的秘密，跟这种肠道激素有关】那些光吃不长肉的人，身体里究竟有什么“秘密武器”？美国伊利诺伊大学最新研究发现，一种名为FGF15/19的肠道激素可以主动抑制脂肪合成。这种肠道激素在进食后数小时内产生，并破坏胰岛素刺激脂肪合成的过程，达到抑制体内脂肪合成的效果。研究人 ​,0
2994,//@烟雨楼百年孤独 :[good]//@默默大夜猫 :我们早就放弃幻想。。。拜登只会比特朗普更会使阴招罢了，对华态度，美国是一致的,0
716,【核材料专家#李冠兴院士逝世#[蜡烛]】2020年12月1日，中国工程院院士李冠兴因病在京逝世。李冠兴，1940年1月14日出生于上海，1962年毕业于清华大学工程物理系，1966年研究生毕业。1982年至1984年，公派美国俄亥俄州立大学冶金工程系访问学者。1999年当选为中国工程院院士。曾任中核北方核燃料元件有限 ​,0
3988,#美卫生官员出现史上最大规模离职潮#美国联邦政府抗击新冠肺炎疫情不力，将疫情“政治化”，四处甩锅。负责防止传染病传播的美国州和地方公共卫生官员也身不由己地被卷入这场“政治风暴”。身心俱疲之下，美国出现了史上最大规模的公共卫生官员离职潮。,1
1346,法拉第未来美国工厂已开始施工，贾跃亭的Faraday Future美国工厂已开始施工，并迎来首批生产设备安装，FF称所有供应商均已就位，并启动大规模招聘 ​,0
4692,"【#瑞幸咖啡回应和解#：持续配合监管，目前公司经营正常】#瑞幸咖啡造假案1.8亿美元达成和解# 当地时间12月16日，美国证券交易委员会指控瑞幸咖啡通过虚报收入和支出来欺骗投资者，将被罚款1.8亿美元，瑞幸表示已就部分前员工涉嫌财务造假事件达成和解，目前公司和门店运营稳定、经营正常。   ​​​ http://f.video.weibocdn.com/001cQTMqgx07IQ0WsC6A01041200lsbQ0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1608256904&ssig=jVxIbtPOMz&KID=unistore,video",0
829,//@飞象网项立刚:签名没有必要，不过可以有一个报告，在各种会议上会不断说，很多事，说多了，就会受到重视。如果有这样的一个管理办法，如果中国允许苹果用自己的系统，那也要作为一个交换条件，美国也要退一步的，在其它方面让步。//@南海晨曦微博:项老师发起签名吧，大伙会积极响应的[good],0
2490,#史上今日#【今天是#钱学森诞辰109周年# 缅怀！ 】他是中国航天事业奠基人，是“两弹一星”元勋；美国人曾经形容他“一个人抵得上5个海军陆战师”； 他坚信“外国人能搞的中国人也能搞”，他就是钱学森。五年归国路，十年两弹成。在钱学森的心中，“我的事业在中国，我的归宿在中国。”钱学森诞辰109周 ​,0
3498,"#亚马逊[超话]# #AMZ123跨境早报# #跨境电商[超话]# #跨境电商资讯[超话]# 

12月4日 周五
《AMZ123》>>>跨境早报60秒 知晓跨境电商大小事情！

1.亚马逊美国站发布公告称，从2021年1月1日开始，向英国客户销售商品的英国增值税的征收方式将发生变化。具体变化请戳下方链接。
http://t.cn/A6qvX9p5

2. ​",0
2230,【6类食物有助给身体「消炎」】#便民资讯#在一些重大疾病的发展过程中，炎症反应是其中一个重要的环节，而合理饮食有助降低体内的慢性炎症反应：①核桃：发表在《美国心脏病学会杂志》上、涉及634名参与者的研究发现，核桃有助改善心脏健康和降低炎症风险。②鱼类：欧米伽3脂肪酸有助抑制炎症，三文鱼 ​,0
2577,//@叶宝密v6: 小红粉最喜欢这样的文章//@周蓬安:危言耸听！这纯粹是捧杀。你美国财政部制裁香港特首林郑月娥，弄得中国四大国有银行在香港的机构都不敢给她开账户，这说明美国金融在全球拥有霸权。中国改革开放四十多年，虽进步很快，但人民币都未实现国际化，怎么可能挑战美国金融的国际领导地位？,1
4533,有道理[doge][并不简单]//@南海的浪涛:美国智库将这条新闻翻译成了“中国可能正在计划对士兵进行基因改造，以打造一支终结者式的超级部队”。,1
2764,@最皮biubiu //@霓虹傻姐:我学一下造谣技术“日本政府竟然强迫1.27亿日本民众干活”。日本还记得美国新闻周刊日文版报道的日本的技能实习生(研修生劳工)制度是实质的奴隶制吗？国际组织人权委员会和美国政府可都是认定日本该制度制度是存在问题。 http://t.cn/A6qIAWDV,0
