,tweet_id,text,allan,michael,shameek,tevin,Number of labelers,mode,mode occurrences,label-am,label-as,label-at,label-ms,label-mt,label-st,label-ams,label-amt,label-ast,label-mst,label-all,label-scale,label-mtscale
0,1494450949208752146,"Adapting to the pandemic would have helped with climate change too Reducing emissions by localizing economies and travelling less, especially by plane Which is why koch network hijacked the covid response with GBD Fuel usage dropped and the air was cleaner",strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,2,,,strongly agree with climate change,slightly agree with climate change,,,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,,
1,1496884055417442304,Maybe it's just part of some darkness I'm experiencing but I have genuine fears about the state of the world right now. Fascism. Imperialism. War. Climate change. Pandemic. Rising inequality. All of it. And to think some people's biggest issue is wearing a fucking mask.,strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,,strongly agree with climate change,strongly agree with climate change,,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,
2,1503829523091144708,the reason are many! but in no case is because of the jabs! carbonated drinks shoveling snow sport breathing to many times (WTF) stress of switching off mask mandates covid stress normal situation climate change putin fault parents fault energy price rising gas price rising ,irrelevant or no opinion on climate change,slightly agree with climate change,slightly agree with climate change,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,2,,,irrelevant or no opinion on climate change,slightly agree with climate change,,,slightly agree with climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,slightly agree with climate change,irrelevant or no opinion on climate change,,
3,1498424030633807880,Just keep an eye on what the sneaky bastards are doing behind the scenes to Human Rights legislation and jabbing kids whilst the lying Govt & MSM get everyone watching Ukraine and try to make you believe it's something it's not. Just like the fake virus & climate change.,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly agree with climate change,4,strongly disagree with climate change,3,strongly disagree with climate change,strongly disagree with climate change,,strongly disagree with climate change,,,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,,
4,1468255463326289933,"Wasn't Al Gore a ""prophet"" of climate change? No, he wasn't!",neutral to climate change,slightly disagree with climate change,neutral to climate change,neutral to climate change,4,neutral to climate change,3,,neutral to climate change,neutral to climate change,,,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,,
5,1483152601403342850,Study of health woes in Puerto Rico after Hurricane Maria New study-found long-term health problems in Hurricane Maria survivors-underscores the devastating health impacts of climate change on communities of color @DrIanWeissman ,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
6,1477304623107084288,"Human-wildlife conflict, habitat destruction, limited resources, limited jobs, rising house prices, climate change, disease.",neutral to climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,3,,,,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,slightly agree with climate change
7,1477383026564755456,Interesting. With climate change tho that whole things gonna be a disaster zone,neutral to climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,3,,,,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,slightly agree with climate change
8,1509268064520572931,"Arizona is rich in biodiversity and home to more than 800 native wildlife species. But with the growing threats of climate change, we risk losing part of what makes our home so incredible. I promise as governor to combat the climate crisis and work to preserve our great state.",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
9,1498785246199926791,It's not about only Ukraine - it's about all wars caused by fossil fuels - RESOURCES WE NO LONGER NEED. #PeopleNotProfit,irrelevant or no opinion on climate change,slightly agree with climate change,strongly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,,,,,slightly agree with climate change,,,slightly agree with climate change,,slightly agree with climate change,slightly agree with climate change,,slightly agree with climate change
