,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
0,0,0,0,487,"RT Booty Focus, Simple exercise, but with great determination come great achievement, invest in your #BootyBeauty #bootygainz #bootybutt #NFTs #NFTartist #NFTProject #NFTdrop #Ethereum #RETWEEET #LGBTQ #fitness #Metaverse ",0
1,1,1,1,51,"RT Personal perspective it lands how comfortable they were as friends. Objective context its weird to be touched from the back by anyone. Subjective to a homophobic perspective it does lend itself as off. Twitter never allows for differing perspectives, its so weird. Niright nonke ",0
2,2,2,2,184,"Congratulations & thank u 4all the stories U bring forth US #LGBTQ tend not to b well informed on difficulties faced by LGBTQ world wide, u have done considerable work 2bridge the gap ... may our org active nationally & locally would do their part 2amplify & join the conversation",1
3,3,3,3,436,"RT Thanks for the space! We are a D&D podcast! Chaotic and disastrous LGBT centered content in a homebrew setting, come check us out if you'd like! ",1
4,4,4,4,533,RT Trigger warning. (If its been a while since you heard a good news story). This story is about amazing people actually helping their fellow humans. LGBTQ people in desperate need of help call this man day and night. He always answers ,1
5,5,5,5,968,"RT It's very weird to interview an MP who's your age - you keep trying to discuss Levelling Up but end up getting distracted by Harry Potter. My chat with the Red Wall's for - on LGBT Tories, free markets, and broken windows ",1
6,6,6,6,225,"RT Voting for a Republican means voting against LGBTQ Americans, women, people of color, seniors, children, poor folks, disabled folks, sick folks! Doesn't leave much left, does it? Vote Blue! We need you! #VoteBlue2022 #VoteBlueToSaveDemocracy #VoteThemAllOut2022 ",1
7,7,7,7,473,"What's this about freedom again? Freedom like how teachers & students shouldn't be allowed to discuss LGBTQ matters? Ohhhhh, right....",1
8,8,8,8,945,RT Alex Jaeger's Post-Grad Summer Plan Hunt demons with Dustin Prove she's the greatest Jaeger hunter Keep her demi-angel ancestry a secret NOT on Alex's Plan Get stalked by a blood-red aura Fall for her witch BFF Grow wings The Devil #SFFPit #YA #FA #CF #LGBT,0
9,9,9,9,1080,"RT It's darkly comic for this government to be planning on hosting an LGBT+ event called #SafeToBeMe whilst the PM cracks jokes about trans people, and an MP just disclosed experience of rape and blackmail. #UnsafeToBeMe",1
10,10,10,10,112,"The Blairite hard-right, racist, homophobic, war criminals. ",1
11,11,11,11,304,"Then why even bring up sexual orientation, if that's what you really think?",1
12,12,12,12,654,"RT Women, LGBT people and black people existing in fiction isn't political, you just are mad not everything is about you",1
13,13,13,13,711,"Behold, the transphobe is also racist and homophobic too. ",1
14,14,14,14,34,"And yes, self care is important, I absolutely agree. But it's hard sometimes not to feel at least a little bit guilty for spending time on the frivolous, when we're faced with the constant assault on LGBT rights from fascists who have only escalated their hatred in recent years.",1
15,15,15,15,333,So how do we use language to differentiate between people who are attracted by biological sex vs attraction by gender? There was that superstraight superbi supergay thing - but that got censored in many places as hate speech,1
16,16,16,16,308,"What is the point you are trying to make with this link? BTW, sex is observed at birth and no one is born in the wrong body.",1
17,17,17,17,228,"LGBT Youth Scotland 2022 theme Blurring Borders: A World in Motion: 'By giving History Month an international focus, were inviting people & organisations across #Scotland to share their ideas about what an equal world for #LGBTQ people would look like & how to achieve it' ",1
18,18,18,18,948,"Have you ever seen the Y lit up supporting any other cause? The answer is no, not that I can think of. It is a blanket policy, theres no discrimination against the lgbtq community here, regardless of what you want to believe. Some things dont require an explanation.",1
19,19,19,19,8,RT Good morning to and happy Saturday to everyone that commends Pizza Hut (in spite of their pizza ) for supporting our LGBTQ youth during pride #GoWokeGoBroke,1
20,20,20,20,432,RT Thank you for arranging such a moving vigil for Dr Gary Jenkins. Powerful words spoken by his former patients and members of the Cardiff LGBTQ+ community. Rest in power ,1
21,21,21,21,645,"Stop specializing Griner as superstar.She should get same effort to be retrieved as any other US citizen. SHE risked detention going to Russia for more $$, knowing it isnt fond of LGBT or Black people. Most US folks wouldve been happy with her USA $100K earnings.",0
22,22,22,22,459,RT Four tickets available on the door each day until August 20th #edfringe #alanturing #lgbtq #gay #queer #theatre #actor #musicaltheatre ,1
23,23,23,23,78,"RT Between 2020 and 2021, there was a 64% increase in hate-motivated crime based on sexual orientation. 258 incidents in 2020, 423 incidents in 2021. This is the cost of rising anti-trans and anti-2SLGBTQIA+ rhetoric and organizing in Canada. Source: ",1
