,text,label
1185,//@念父: 目前美国提供了《国家疫苗伤害支持与保护计划》(National Vaccine Injury Compensation Program)，通过标准程序给予疫苗的受害者一定的补偿，从成立的1989年到现在，全部7675个获批的补偿案例一共赔付41亿美元。平均每个案例50万美元。中国计划……,0
702,很多年前就听说中国有裸眼3D电视屏幕了，现在视频上看见了，感觉美国很落后，市面上甚至新闻里都见不到3D裸眼电视。//@风水财神程老师:转发,-1
1507,//@冬亚:我当时以最坏的情况预估，也没想到美国疫情会泛滥的这么严重，几十万人死亡，当时是认为，这么强大的医疗能力和国力在那，不会有大问题。//@谢田谢摘星:耳光响亮[摊手],1
4153,//@Decadeos:你华为爹帮着日本买摄像头，把辱华企业印在脸上//@义水黄沙:帮美国卖芯片挺卖力的[awsl],-1
3776,"【混乱！#上万名特朗普支持者聚集华盛顿抗议# 又和反对者打起来了】当地时间12日，成千上万名特朗普支持者聚焦到美国首都华盛顿抗议大选结果。而就在集会后不久，“BLM”抗议者们也走上街头，并同特朗普支持者爆发肢体冲突。http://t.cn/A6qGr1MA ​​​ http://gslb.miaopai.com/stream/m-xAe-dYPtEPpHKJbtekAwUka613RySCr46ucg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_ld&mpflag=16&ori=0&ps=1CwnkDw1GXwCQx&Expires=1607881575&ssig=nTR9BCBeg8&KID=unistore,video",-1
4323,"美媒：华裔科学家就“中国间谍乌龙案”起诉FBI！

美国天普大学华裔教授、世界知名超导专家郗小星日前就2015年的“乌龙间谍案”提起联邦诉讼，起诉主导此事的美国联邦调查局(FBI)探员歪曲核心证据，多次忽视外界对其错误判断的警告。此外，郗小星已就此事给他带来的损害向美国司法部提出行政赔偿。《纽 ​",-1
2055,//@2049年的世界:疫情之初，中国人民怀着普世价值的高尚情操，提醒美国在内的西方国家要小心警惕，并把中国抗疫经验无偿托出。但@评论员曹林 这样的媒体人却批判这是“夸大其词”、“虚荣”，如今美国肺炎一天死3000人，作者应向美国人民表达歉意：我粉饰太平造成了你们对疫情麻木和死亡，对不起！,-1
1963,"美国洛杉矶发布紧急防疫命令
 美国洛杉矶市长当地时间周三警告称该市已接近“毁灭性的”临界点，要求民众待在家中，避免社交活动 ​",0
3039,【美国国家情报总监声称中国是当今对美最大威胁 外交部回应】http://t.cn/A6qh3r2a ​​​,0
2444,【费鸿泰痛斥苏贞昌只会给“美国爸爸”交差 苏被吓到结巴慌张回应】8日，国民党“立委”费鸿泰在台“立法院”就莱克多巴胺猪肉进口质询“行政院长”苏贞昌。费鸿泰质问苏贞昌是否要求台湾人民一定要吃含莱克多巴胺猪肉，苏贞昌狡辩称并非如此，却反遭费鸿泰怒怼“你们让老百姓无法选择”。费鸿泰斥苏贞 ​,0
