,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
0,0,0,0,124,"RT Xi said we need to deepen cooperation between the Belt and Road Initiative and the Eurasian Economic Union, support the innovative development of the digital economy, jointly tackle global climate change, and promote social and economic development in the region. ",1
1,1,1,1,1134,Looks like China finally gets to solve it's arable land issue with Climate Change if they take the Russian Far east,0
2,2,2,2,1963,"RT Can anyone name a single person who's died from ""climate change""??? These people are literally insane.",-2
3,3,3,3,1806,you are the most destructive woman this country has every had the misfortune of paying! You're a LIAR! Climate zealot! Climate change is the biggest hoax! Uk financial times said in 2020 Canada uninhabitable because of climate change that's not true! #KATIELIAR,-2
4,4,4,4,64,I use it to light my wood burner..just doing my bit for climate change as well..double whammy ,1
5,5,5,5,65,"If we want to solve problems of climate change, migrants, dictatorships, corruption, human rights abuses, animal rights abuses, we need to ensure communities can be self-reliant and mechanisation. #water #heath #education #food #capitalismkills ",1
6,6,6,6,1741,"RT Around 1 million species now face extinction, many within the next few decades. We are facing multiple crises at the same time. There is no planet B, there is no time to waste! ",2
7,7,7,7,1573,"When it comes to natural forest carbon sequestration potential, I worry greatly that climate change, esp the growing coincidence of record hot/dry conditions, plus severe wildfire, could mean more and more carbon LOST rather than sequestered. This... ",2
8,8,8,8,4338,I believe that list was constructed just to distract you from thinking about climate change.,0
9,9,9,9,1006," Please declare a climate emergency at State of the Union. Get PBS ""Earth Emergency"" documentary, or equal, out to the public. Pay to play it on OANN, Fox, etc. Superbowl ad for climate emergency & legislation. 2/2",2
10,10,10,10,170,"This climate crisis report asks: what is at stake? In short, everything ",2
11,11,11,11,26,I can say and think anything I want. Climate change predictions have been consistently wrong,-2
12,12,12,12,1278,RT Better land use Is needed to tackle this climate crisis. ,1
13,13,13,13,331,"RT Austria's new Klimaticket, or climate ticket -- offering seamless travel across all modes of public transport for just $3.50 a day -- is intended to galvanize the Alpine nation's fight against climate change. ",1
14,14,14,14,917,"RT ""Climate change is taking away country; the very thing used to education our people's and children. Country is their teacher and that is how they learn"" - sharing her wisdom and importance of our own knowledge & education system #IndigenousClimateJustice21",2
15,15,15,15,831,"I reject the argument the BC NDP are the ""lessor of two evils"". The are evil through and through. Their 'live with it' pandemic response, non-response to climate crises and now using the flood crisis to invade sovereign Wet'suwet'en equals evil people. #BCpoli",0
16,16,16,16,4264,"abt climate change po ang sample ko here. dm me poo, i'm interested",0
17,17,17,17,90,Reporting on fossil fuels without mentioning their consequence (climate change) is about as toxic as reporting on climate change without mentioning its cause (fossil fuels),2
