,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
0,0,0,0,0,0,0,828,"RT We have extended the deadline to apply to be a senior #LGBT counsellor! 5pm 24th January Apply at https://t.co/Zku2cNuT7s We particularly encourage applications from people of colour, trans and non binary people to help us best reflect our communities. ",-2
1,1,1,1,1,1,1,771,love im not assuming anything he literally donated $42k to ANTI LGBT politicians ... he does not like us,-1
2,2,2,2,2,2,2,982,"I wonder if there will be a response, but its just kinda crazy for them to have Pride Radio and play songs featuring someone who spoke so poorly about the LGBTQ+ community and then doubled down on it. Youre better than that! ",-1
3,3,3,3,3,3,3,22,RT Like I am genuinely interested in who this type of person should be reserved for if we are using education and success as a barometer? Like never mind the kids part but how did we get to a person not being homophobic or transphobic becoming a preference? ,1
4,4,4,4,4,4,4,606,"RT Garden State Equality is one of our HIV Is Not A Crime partners and New Jersey's largest LGBTQ+ civil rights organization.They educate and advance the movement of equality through advocacy, policy work, and training. #HIVIsNotACrime is possible with a grant from ",-1
5,5,5,5,5,5,5,352,RT Hello I would like a white supremacist settler colonialist fascist nazi homophobic ableist transphobic queerphobic classist patriarchal colonial racist heteronormative fatphobic bi erasure cisgendered word salad with a side of fries myself please.,1
6,6,6,6,6,6,6,896,"RT Isnt he head of the LGBTetc committee in the Commons? Thats some massive admission that he, and by implication they, dont care at all about LGBT youth and other kids harmed by their own ideology.",-1
7,7,7,7,7,7,7,1022,RT This conferences success is a testament to all the hard work YOU all have done & I couldnt be more proud! I am lucky enough to have a strong network of Queer medical colleagues & now thanks to so many LGBTQ+ med students now have their own growing networks! ,-1
8,8,8,8,8,8,8,966,"You people are soft. It's comedy. Chapelle had a very close trans friend that killed themselves after the LGBTQ warriors attacked them for supporting Chapelle. Dave loved the trans person dearly. Notice they didn't kill themselves due to comedy, it was their own kind.",-1
9,9,9,9,9,9,9,379,RT Russian legislation is still too strict with the #LGBTQ,-1
10,10,10,10,10,10,10,1018,"Not just one man, actually! People who worked with her said that for the last six months she has been too busy with her leadship campaign. She is known for championing LGBT rights and is very woke.",0
11,11,11,11,11,11,11,156,"RT Did you know?? I still have TWO spots left for #Pride Scarves! Support an LGBT business & show off your colors, don't miss out! Check my ! ",-2
12,12,12,12,12,12,12,458,RT Why this is so tiring and pernicious. The prerequisite for dating is for the other person to be male. Thats the essence of being a gay man. This is what we have been arguing and why this is - conversion therapy. 1/ ,-1
13,13,13,13,13,13,13,326,"TW: Pedophilia, incest, transphobia, homophobia The explanation of how Larissa32801681 managed to make both her ships creepy and disturbing. You can see how homophobic and soon transphobic that she can be. ",-1
14,14,14,14,14,14,14,81,that conversion therapy bs lil nas x is doing is disgusting and insidious. The reason shit like this happens. He needs to just come out as bi. ,-1
15,15,15,15,15,15,15,900,"When was Braum & Sett officially confirmed LGBT? Assuming that's true, that doesn't stop them from adding more Champs to the LGBT camp. People can keep getting more.",-1
16,16,16,16,16,16,16,850,That's exactly it and it's always the loud ones that shouldn't always be the one speaking to make the image of the lgbt worse,-1
17,17,17,17,17,17,17,886,"RT It's well known that democrats can o ly care about LGBTQ rights or make government work. It's literally impossible to do both. Mutually exclusive. Fareed Zakaria is very smart, you see. ",-1
18,18,18,18,18,18,18,987,RT Dave Chappelle Says U.S. More Offended by DaBaby's Homophobic Comments Than Killing a Man #JimAndSam ,0
19,19,19,19,19,19,19,356,RT https://t.co/WDnej3xJhd Commander Stephanie Sterling to take part in UKs first LGBTQ+ wrestling event via PCW UK Live Wrestling by @notCursedE,-1
20,20,20,20,20,20,20,868,"I dont know why peope stan jessi, That girl said homophobic too back then She said boa is gay and daniel henney is fag",-1
21,21,21,21,21,21,21,338,"RT Happy book birthday to PHASES, the expanded, revised edition of Belinda Betker's acclaimed debut poetry collection, shortlisted for two out today from Shadowpaw Press. #newbooks #poetry #lgbtq #publishing ",-1
22,22,22,22,22,22,22,48,"Because our society has mixed gender and sex in an unhealthy way. Hence my original post. And as far as I can see, there's no clear cut biological definition of sex, that doesn't exclude people who would now be safely included. I'm for trans rights. I'm against abuse.",-2
23,23,23,23,23,23,23,601,"And these types of messages are profoundly ignorant of the discrimination faced by women on the basis of sex, not gender. Women are oppressed on the basis of their sex, irrespective of whether they want to/can birth a child.",-1
24,24,24,24,24,24,24,398,"RT I'm waiting for any version of #MeToo to hit the LGBTQ community. When that shit hits the fan, straight ""allies,"" including all the f** h*gs, will NOT know where to look. You think the few cases you've heard of are just aberrations? Oh, you poor, silly darlings.",-1
25,25,25,25,25,25,25,1045,"Your POV: constantly painting trans/gay people as victims, indirectly implying that theyre too weak or incapable to defend themselves against the strong homophobic people Youre technically part of the problem and this vision of reality is flawed and completely false",-1
26,26,26,26,26,26,26,637,"So lets talk about insane!? You mean insane like not acknowledging biological sex? Or burning buildings, robbing business, & civil unrest as Peaceful Lay off the Fluoride",-1
27,27,27,27,27,27,27,62,"She took her pen name from the guy who basically invented conversion therapy. (She insists coincidence, just like she did for the plot of her new book, but come on.) ",-1
28,28,28,28,28,28,28,387,"RT Opportunity alert! Submissions for & films Documentary Development Initiative are open through Tuesday, July 26. BIPOC, LGBTQ+, and/or storytellers with disabilities are eligible to apply to receive a $50K grant. : ",-2
29,29,29,29,29,29,29,596,Pride bomb homophobic af for attacking a country with my girlfriend Yellow 4,-1
30,30,30,30,30,30,30,422,"I mean unless they surveyed the entire population that data is not accurate, and I personally dont remember filling out a survey about my sexual orientation",0
31,31,31,31,31,31,31,414,He advocates that the #LGBTQ people should be killed. WTF!,-1
32,32,32,32,32,32,32,319,"Oh no the Brits have got you, please DM me so I can get you set up for conversion therapy before its too late brother",2
33,33,33,33,33,33,33,610,"RT There are so many people that just don't see the bigger fucking picture, and sadly that includes a large chunk in the LGBTQ+ folks.....they come for one of us, that means they're going for EVERYONE. ",-2
34,34,34,34,34,34,34,320,"Kiku is biologicaly a men ,he just tell this,so it's not homophobic to tell that",1
35,35,35,35,35,35,35,335,"RT Young LGBTQ+ people of #MySefton, support is available this #MentalHealthAwarenessWeek! All young people in #MySefton can access Kooth for free, anonymous mental health support. #SeftonInMind ",-2
36,36,36,36,36,36,36,753,I really dont want lgbtq issues. I want my boys to be in love and live freely ,-1
37,37,37,37,37,37,37,314,Normalize moms not knowing what size clothes their kids wear because dad buys them (hi! Me!) Normalize parental love and gender fluid parenting roles.,-2
38,38,38,38,38,38,38,1107,"RT New profile icon for this month so pretty! You have to respect, support and give a lot of love to those who deserve it. Let us be the ones who make the difference. #NuevaFotoDePerfil #LGBT #Pride2022 #furryart ",-1
39,39,39,39,39,39,39,593,Unsurprising that a backwaters pastor doesn't know that sexual orientation is a protected class in many states but being unvaccinated is not.,-1
40,40,40,40,40,40,40,394,"You threatened a teenager with a gun in your purse. You helped the J6 insurrectionists. We don't give a fvck about what you think, you homophobic Nazi loving hobgoblin.",-1
41,41,41,41,41,41,41,677,"RT The biggest lie ever told was that Democrats (millionaire and billionaires themselves) are for the downtrodden, oppressed,",-1
42,42,42,42,42,42,42,653,So dont imply that you think Im racist/homophobic because I dont like these shows. I just dont like things that have bad writing and bad characters.,0
