,text,label
4022,态度我就懒得说了 没听过半年抛三个月就要扔的道理？ 人才 不懂怎么来的粉丝[二哈]刚开始好声好气说了我带着眼睛发炎红肿还痒 结果来句可以丢了？小仙女都不要买了 正规眼镜店都好 这种代购 理亏也不会道歉呢 呵呵 ,2.0
2680,@杨紫 //@杨紫:我们的地球正在经历前所未有的挑战，其中一个就是气候变化。减少温室气体排放，可以从垃圾分类开始。今天是#世界地球日#，让我们用#绿色生活方式#，珍爱地球，守护我们共同的家园。@野生救援WildAid ,0.0
3999,"#气候变化致所罗门11岛消失# 过去30年，气候变暖现象受到人们很大的关注，科学家们发现：现在的气候变化速度非常快。2015-2018年是有记录以来最暖的四年，今年或再刷新。全球每年气温屡破记录，究竟是什么导致了气候变暖？（SELF格致论道讲坛）  http://miaopai.video.weibocdn.com/003eDoPylx07wHFt3Qdq01041200of1d0E013.mp4?label=mp4_ld&template=640x360.24.0&trans_finger=78679548d3dda0964ec12b81fbdd99c2&Expires=1576888220&ssig=L39aE8Xwr4&KID=unistore,video",0.0
1617,#小小的追求# 冰川怎么能被捧在手里呢？ 这真的是个很不错的节目，见你们所见，听你们所听。北极，冰岛，我见了许多震撼人心的美景，同样也了解在我认知之外的全球变暖、温室效应的直观变化，之于北极熊，之于海豹，之于许多许多处在生存困境的动物们。于大自然而言，我们只是一个拜访者，不要去抢占动 ,0.0
3714,跟“秘密太空项目”有关的消息来源说，这项计划的目的，是永久结束这颗星球上的战争，并由此允许对行星地球的隔离结束。五角大楼的消息来源确认，最近被法国、金砖国家联盟、以及“很快”也将被美国所批准的巴黎气候变化协定，是一个伪装来为以黄金和资产支撑的货币框架，以及对全球货币重置做掩护的。,2.0
945,本家上午给我一张蛋糕卡卷，我才想起来还有一个多月就是我的生日了，可是这么早给我，以另一张购物卡的消费速度，估计还没到生日我就花完这几百的蛋糕券了[费解][费解][二哈] ,2.0
472,“夏虫不可语冰”原文的意思大概是讽刺不值得和见识短浅的人讨论。一直以来我都认为，任何人都可能是夏虫，知道四季的动物一样没见过万年的气候变化，只是我们处于一个局限的时境里，作为一只夏虫，面对未知事物应该持有什么样的态度，但有一点可以确定，和蠢货沟通的成本太高，不值得。 ,2.0
1485,#津彩资讯#【天津瑞吉金融街酒店“地球一小时”活动 关注气候变化，熄灯一小时，点亮环保心】@天津瑞吉金融街酒店 ,0.0
2220,街拍-疲惫：秋天来了，夏日依旧相伴不舍。一串38度超高温，封住了大门，却挡不住操持的老奶奶。空旷公交，凉爽空调，打盹好地方。 ,2.0
487,气象万千”摄影作品大赛”为纪念世界气象日，更好地发挥气象摄影作品的科普宣传作用，在全社会形成气象防灾减灾和应对气候变化的强大合力，浙江省摄影家协会、省气象局、省气象学会联合举办气象万千摄影作品大赛。一、参赛资格及要求各地摄影家、摄影爱好者均可投稿参赛。参赛作品要求详见《浙江省...展开全文c,2.0
4083,#IYSECCXII[超话]# @青年应对气候变化行动网络CYCAN 7月20日1~在云端—职面绿色未来:今天上午通过此次云端直播和WWF韩彬老师的介绍了熊猫日和地球一小时等项目均属WWF。了解到WWF是在全球享有盛誉的、最大的独立性非政府环境保护组织之一，自1961年成立以来，WWF一直致力于环保事业。同时WWF致力于保护 ,2.0
2516,//@孙燕姿:气候变化不一定会影响到你。但你们看看这些照片，是不是也💔。 今年增加自己对环境的意识，减低造成堆填区的负担，过一样充实饱满的生活。❤ 重庆见咯大家。//@杨采妮:可怕的火燒毀了多少人與動物的家、喪失了多少無辜的性命 替他們心痛難過之餘，是該好好檢討思考人類的生活方式🙏🏻,0.0
4216,从小事做起，保护我们赖以生存的家园[米奇比心]#全球变暖你感觉到了吗##我国五分之一冰川消融##北极熊濒临灭绝# ,0.0
3662,除了主流观点，我看过的最让我意外且印象深刻的关于全球变暖的现象的解释是，相对于地球本身来说，这不过是她自己的一个周期，正如冰河时期一样，即使全人类以及地球上所有的生物都覆灭，地球仍然会按照她自己的自然规律生存下去，地球上是否存在生命于她自己来说并没有任何意义。所谓的毁灭，并不是相 ,1.0
3766,//@leejayjae://@All_For_KJJ:键盘侠都是严以待人宽以律己的废物[doge]//@小__九__:坐在空调房里的键盘侠有资格diss一个在40度高温的室外搬泥沙的人伪善？有本事键盘侠们也去伪善一下呢[吃瓜],2.0
3183,【高温产业 西瓜“称霸”一天销售30多万斤】夏日炎炎，在我们的生活中降温方式也是多种多样。吹空调、吃西瓜也成了夏日标配。近日，徐州某农贸市场负责人表示，该市场西瓜的总销量达到了30多万斤，10辆车上装满了西瓜。大家快去吃西瓜度过这个燥热的三伏天气吧！ ,2.0
2569,"分享网易新闻：「科学家把二氧化碳变成石头应对全球变暖,研究人员已经开发出一种将二氧化碳变成石头的技术，来捕捉和存储」 手机网易网",0.0
2668,#郑爽[超话]#[给你小心心]#Youth4Climate气候变化青年行动公益大使郑爽#  所有的路都是靠自己走的，所有的感悟都是自己领会的。只要你敢试、肯试，没有什么是不可能的！[心][心][心][拳头][拳头][拳头] @郑爽SZ @郑爽SZ ,2.0
3635,持续的高温让人感觉状态不佳， 不想让自己的大脑CPU停止工作？ 选择#富士通将军诺可力Z/T系列空调#， 超远送风，可确保整个室内恒温稳定哦~ ,2.0
3042,【夏季用车六注意】总在车内备着一个打火机。夏天到了，打火机可千万别放车上，高温情况下非常容易爆炸，不仅容易造成驾乘人员受伤，还可能会导致爱车自燃！注意5、空调温度别太低。 ,2.0
4329,长航时、大载重、适应恶劣环境，紫燕电动无人直升机或将开辟行业应用新领域目前市面上有近八成无人机为多旋翼无人机，它们不仅应用在消费级领域，也在行业级领域频繁出现。但在紫燕无人机看来，多旋翼无人机和固定翼无人机在工业领域的应用是存在较大局限性的。相比之下，无人直升机更适合在极端气候    ...展开全文c,2.0
827,【空调能给你送来清凉也能带来火灾！[衰]】#四川消防天天见# 高温天气是空调使用的高峰期，消防蜀黍在此提醒大家，每年，空调因高温、老化、短路、气流不畅等原因“冒火”现象并不少见。莫让空调成了夏日的“危机”，要做到防患于未然，避免空调火灾发生。  ,2.0
123,哈哈哈哈哈为什么我看到这个只想笑 支持川普认为选川普没错的人脸疼吗还洗吗 //@SR522:然后他把内阁都换成了跟他一样的傻逼 。。//@阿漠君:the president of taiwan....还真敢用...外加之前那个全球气候变暖是中国政府一手编造出来的威胁论...这样的人真的要成为全世界最有权力的人了...可怕...@SR522,0.0
