,text,label
3185,实时播报：礼来：计划与美国新墨西哥州的主要地方机构合作，开始一项新的中和抗体Bamlanivimab在新冠肺炎高危患者中的实用研究。 ​​​,0
3535,"http://t.cn/A64bLwNH[星星][星星][星星][星星]，如果，我们的武器更先进些，飞机多点，哪怕是高射炮的炮弹再多点……也许我们就不会牺牲那么多士兵了。那座桥，不是炸不毁，而是工兵连一次又一次的抢修，直至最后，成为了人桥。美国人在飞机上看着底下如蝼蚁一般的小人儿，傲慢的以为我们会不堪一击。 ​​​ https://f.video.weibocdn.com/oZbWRRDnlx07Hvwkpk2Q01041200hUIS0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&Expires=1603703466&ssig=vDKpv7ofVy&KID=unistore,video&tags=weibocard",1
4736,这么讲的人怕不是一个在国外混大公司的亲友都没有吧？居然拿美国举例子。。。你拿欧洲也就算了，美国互联网大厂也是加班的，而且妹有加班费你敢信？996确实非人，你也不必用吹捧美国的角度说啊，显人没见识//@MrStudy://@闪闪一口气吃了十碗麻婆://@裸火嚴禁: //@桐叶_tongye:加完班回家的我即刻转发,1
3447,【#美国新冠肺炎超1488万例#】美国约翰斯·霍普金斯大学数据显示：截至美东时间7日16时26分，美国累计新冠肺炎确诊病例达到14888471例，累计死亡病例达到283326例。与约24小时前数据相比，美国新增新冠肺炎确诊病例超18万例，新增死亡病例1388例。（央视记者殷岳） ​​​​,-2
2017,//@欧美二线品牌:真心佩服[二哈]//@竹山吃山竹:为了自由呼吸，命都不要了，土鳖惊呼：美帝不可战胜//@探索月球:你觉得是个科学普及问题，他觉得是个信仰坚贞问题[哈哈],-1
1562,"#华盛顿国家大教堂敲响300下丧钟#【华盛顿国家大教堂敲钟300下 纪念疫情中逝去的生命】美国约翰斯·霍普金斯大学统计数据显示，截至美东时间15日16点28分，美国累计新冠肺炎确诊病例达16651589例，累计死亡病例302689例。当地时间15日，华盛顿国家大教堂敲响钟声，纪念美国在此次疫情中失去的生命。每一 ​​​ http://f.video.weibocdn.com/c5xacttZlx07IOryZ9Bu010412004LS10E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1608138872&ssig=hpYQ7RyZoF&KID=unistore,video",0
4264,摘：今天，美国马萨诸塞州的医生朋友发给我一张照片，照片上是医院里满地无主的iPad，原本医院里的重症患者是通过这些iPad和家属临终遗言的，这才是万万日记里写的真正的满地无主的iPad，而他们的主人，早已化为灰烬。,-1
855,"不得不承认It领域美国佬还是引领潮流，别看国内论文多专利多，其实大部分都是垃圾，评职称，骗经费用的，
真的讲创新，还是老美。
别看国内有的巨头蹦得欢，假如把目前的障碍撤除，小日子马上难过  ​",2
4309,特朗普之毒，以色列之狠，终究是世界人民的灾难，也是中国人民的灾难，全世界人必须严阵以待，让特朗普从此变成乞丐，美国各邦人民独立，收回以色列国土，让其民族从此流浪！ ​,-1
3230,今日只为真的正版代言万能透视看牌器原来可以开挂，大家了解下手机真的有手机麻将真的能开挂吗？《十徽99735501》小程序麻将挂美国《国会山报》11月4日消息，美国民主党总统候选人拜登目前赢得的总票数已超美国历史上任何一位总统候选人。据报道，拜登已获得超过7000万张选票，超过了奥巴马2008年的超6 ​,0
4383,//@日本傻事:抓个美国间谍记者就造新闻啦？[悲伤]我倒是想让国家抓一下日本间谍记者啊，这么多满地跑。前段时间还被国家点名了，希望多抓点啊。👉 http://t.cn/A6qV8AVX,-1
32,//@硅谷王川:很多时候解决系统的顽疾，最简单的方法就是让信息更公开，全面，迅速的传播，而不是强迫系统内的个体按照设计者的主观意志去做某件事。1986年美国通过法案，要求所有公司把其工厂每年释放的污染物数量公开，一些地方报纸据此搞了个前十名排行榜发布，结果据说几年后全国化工污染下降了40%,1
3583,//@纸扎铺老板娘:一个美国人排队做新冠测试，排了大半天后实在耐不住火气，对身后的人说：“我受够了！你给我占住位置，我去把特朗普一枪给毙了”。 两小时后，他回来了。替他占位的人问：“你把特朗普毙了吗？” “没有。那边排队的人比这边的还多！”,-1
3619,#美国48名NBA球员新冠检测阳性#【美国威斯康星州新冠疫情严重 新冠入院患者近四分之一在重症病房】当地时间11月30日，美国威斯康星州卫生部门表示，由于感染新冠而在威斯康星州住院的患者中，近四分之一在重症监护病房（ICU）中。威斯康星州卫生服务部报告说，该州目前还剩16％配备员工的病床可用，全 ​,-1
841,http://t.cn/RCp7aut 美国会计划要求国防部重新考虑是否向用中国5G的国家派驻军队，点击链接查看更多-> http://t.cn/A6qzxYDk ​​​,0
4351,"中国跟加拿大讲人权，它跟你讲法律；中国跟加拿大讲法律，它要删除证词。

一个国家都最基本脸面都不要了，还整天喊什么“人权、民主、自由”？

加拿大跟澳大利亚恰好是美国的“哼哈二将”，以前又都是英国的殖民地，到今天也不懂什么是独立自主？只有无耻和虚伪，事事不敢作主，事事要看美国脸色。

 ​",1
4665,美国政客最后的疯狂！秋后的蚂蚱，蹦达不了几天了！但我们绝不能忍气吞声，助长其嚣张气焰，必须针锋相对，以牙还牙！ ​​​,-1
4532,盲目自信的特朗普和一直以来对中国不友好的美国有关组织对华阴谋的失败也把他们拖下了神坛。因果报应，天灵地验！ ​​​,-1
4240,【美国新冠病毒死亡人数超29万 各州加强抗疫防控措施】根据约翰斯·霍普金斯大学（Johns Hopkins University）的数据显示，截至当地时间12月10日，美国因感染新冠病毒而导致死亡的人数已超过29万。其中加利福尼亚州、佛罗里达州、新泽西州的死亡人数均达到了17000人以上。截至12月9日，美国因感染新冠病 ​​​,-1
4408,美帝为什么要炮制瓜达尔港威胁论？瓜达尔港为什么让美帝寝食难安#快资讯# http://t.cn/A6GgWely ​,-1
2965,#拜登赢得胜选所需270张选举人票# 据美联社报道，美国东部时间12月14日下午，加利福尼亚州选举人团确认民主党总统候选人#拜登胜选#,0
1343,为什么美股天天涨，还屡创新高，而我大癌股就是不涨呢？其实道理很简单，炒股炒的是预期，疫情对美国的影响已经是最坏的时候了，疫苗也研发出来要大量上市了，所以对美国经济的影响基本也就见底了，预期美国经济看涨。 ​,0
256,//@科学爱国主义: 质疑这件事人品还真需要三思！我一直希望我们中国人能基于事实和逻辑，能实事求是的看问题！美国可恶，但是不要因此就随意造谣贬低美国！中国作为一个无神论国家，是我们的优势，如果失去了实事求是的精神，还不如神教国家！,0
3861,[思考]//@利刃3000:经过对比中国跟美国登月的图片，发现美国的不管从泥土颜色和质地，跟中国完全不同，还有我们着陆器的脚撑是砸入到土里面去了，美国的脚撑是像是轻轻的放在上面一样，我们的嫦娥4顿重，美国阿波罗是14顿重，到底谁是假的呢[笑cry] http://t.cn/A6qv1Ubw,-1
4443,回复@whatever_danny:你这个主意我可太喜欢了！//@whatever_danny:回复@座圣斗士:美国会不会像中国道歉，并且割让夏威夷，改变美国在中国的形象呢？毕竟形象很重要[doge][doge],-1
2474,"#美国大选# 

任何一个强国打垮另一个国家，要么是直接毁灭这个国家，就是直接灭种，要么是还看得上这个国家的文化，会选择安排人接管。文化没输，武力输了，尚得一丝生机。
就武力来说，美国是世界第一强国，但不知道美国对大陆文化究竟是怎么看的，话说上个世纪90年代，是整个大陆文化的黄金时代，这 ​",2
1043,美国企业靠股权直接融资不计入m2，中国企业以银行贷款为主计入m2，如果去除这个因素，两国没差别//@10JQKA888:美国金融发达，基础货币的乘数高一些吧。。。所以基础货币不多,0
2078,#打了新冠疫苗后还要不要戴口罩#现在要说到最需要新冠疫苗的国家有哪些，美国当属第一个，美国每天悼念因新冠肺炎去世的亲友的人数正以惊人的速度增长。从发现第一例确诊病例到现在，美国已经有30多万人死于该疾病，平均每天死亡人数是961人。仅在过去的一个月里就有5万多人死亡。在过去的一周，几乎每 ​​​,-1
2349,"特朗普：如果我不是总统，5年里都别想用上疫苗好吗？[允悲]

#福奇称民众需迅速接种疫苗##美国选举人团将投票#  http://t.cn/A6q5TnEC ​ ​​​ http://f.video.weibocdn.com/000d0LvHgx07ILlVE4IE010412003lJm0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1607971431&ssig=BbTl8ygT3%2F&KID=unistore,video",-1
1366,老会做PR了[哈哈] 在marketing这个块，高调的美国人善做PR，上到推特治国再到老百姓游行，“把我想说的说出来，让大家知道，然后…”老美在这快的理念、设计框架和发展程度相当成熟。反观亚洲，日本是可怕的对手。不说话不吱声，把消费体验做到极致。一个豆沙包翘动整个西南地区的“鬼故事”，听过？,1
2424,"美国女子自称""科学家""拒戴口罩大闹银行：根本没什么新冠。[并不简单](中国日报)#美国新冠肺炎超1350万例# 
 ​​​ http://t.cn/A6GekC8y ​",-1
4548,经济战争已经打响，尤其是美国，从中兴开始到华为……接连不断，国人醒醒吧！拒绝美货，就是保家卫国！所以你每天还在消费美国货吗？以买美国货为荣吗？你消费的美国产品如安利、肯德基以及麦当劳等等，他们赚了钱，在中国没有投资一分钱，没有捐款一分钱，所以美国人把我们卖了，我们很多人还在给美国 ​,1
3461,"作为美国的盟国，价值观与美国一致，对中国不友好是可以理解的。但是，澳大利亚在所有美国盟国中反华最激进，这点很让不少中国人费解，很多中国人只能理解成莫里森脑子进水了，这类""插刀""式行为本来只存于江湖莽汉之身。中澳两国本来就进入冤远无仇，两国发展关系的基础本来好于其他西方国家。 ​",1
396,"美国加州购置5000个尸袋和60辆冷藏车，投放至疫情最严重的地区的医院，以应对未来可能出现的大量死亡病例  

 #美卫生官员出现史上最大规模离职潮# #与拜登同行记者感染新冠#   ​​​​   ​​​​   ​​​​   ​​​​   ​ ​​​​  http://t.cn/A6qIH1DZ ​​​ http://f.video.weibocdn.com/001HJO1ogx07IQA6LFja010412003mnw0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1608205379&ssig=fyOLMWL%2BQX&KID=unistore,video",-1
