,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
0,0,0,0,0,0,0.0,1007.0,"Disturbing thread about the disturbing parallels between modern transphobia and historical homophobic rhetoric. Obviously, TW: homophobia, transphobia ",-1
1,1,1,1,1,1,1.0,983.0,"RT several attacks on Trevor Project in the last few days -- between this and broadly putting kids' safety in danger by harassing supportive teachers & schools, and taking away access to resources & supportive adults, it seems like the right really does just want to kill LGBTQ kids ",-2
2,2,2,2,2,2,2.0,885.0,It shows that cops are homophobic. Its supposed to be a deterrent lol,-1
3,3,3,3,3,3,3.0,155.0,I am a Native New Yorker and Ally to the #LGBTQ community. Kita's family needs answers as to who killed her ,-2
4,4,4,4,4,4,4.0,658.0,"Tbf, most Prides are exactly what you are describing. Most ppl at pride keep their kinks in the clubs where kids are not allowed. My point is that people still use the same language/arguments to keep LGBTQ people behind closed doors. We deserve to be free just as everyone else.",-1
5,5,5,5,5,5,5.0,488.0,RT The wellbeing of LGBTQ+ people and women are at stake. WATCH NOW as holds a hearing on the potential ramifications and impacts of overturning Roe v. Wade on other fundamental rights. ,-2
6,6,6,6,6,6,6.0,339.0,"Conversion therapy really should just be called what it is, torture. It's like torturing someone to get information. They'll say or do anything to get the torture to stop. Even pretending to be straight out of fear of being tortured again.",-2
7,7,7,7,7,7,7.0,1098.0,This isn't even to mention the Labour delegation to PACE trying to use their position to remove mention of UK transphobia and spout a bunch of transphobic dogwhistles when PACE was writing up condemnation of rising LGBT hate crimes in the EU,-1
8,8,8,8,8,8,8.0,831.0,"RT [Stigmabase AM] Jessica Chastain wins Best Actress Oscar, spotlights LGBTQ rights in speech: It's touched mine and especially members of the LGBT community, who often feel out of place with their peers."" ""We're faced with discriminatory... View ",-2
9,9,9,9,9,9,9.0,531.0,"You may want to have a look at our page regarding TizzyEnt. He threatens indigenous women and autistic children, not to mention he is homophobic, anti-semitic, transphobic and misogynistic. Receipts don't lie. There are plenty more screen shots on our page. ",-1
10,10,10,10,10,10,10.0,952.0,"RT FUCK, dude. YOU'RE FUCKING DISNEY. I'm sorry, but what are people going to do if you make a stand and do something to actually support the fight for LGBTQ+ rights? Not buy your shit?! NO!",-2
11,11,11,11,11,11,11.0,125.0,"RT I do like men, but the only LGBTQ+ community I identify with is the Lets Get Biden to Quit community. The + includes Justin Trudeau. Lets Get Biden to Quit & Justin Trudeau Too (LGBTQ+)",-1
12,12,12,12,12,12,12.0,519.0,They did the same thing when Destiny said that 'Nazis who aren't anti LGBT or antisemitic sounds pretty based' in response to me talking about exterminationist pan-European supremacism,-1
13,13,13,13,13,13,13.0,186.0,"RT VOICING FOR LGBTQ COMMUNITY My cousin asked me to help them get some responses on this, so please spare some of your time and fill the form ",-2
14,14,14,14,14,14,14.0,2.0,RT its actually homophobic that i STILL dont have a kate bishop funko,-1
15,15,15,15,15,15,15.0,578.0,"RT Opinion | Being homophobic and an Assadist was okay, but when Tulsi Gabbard hosted Tucker Carlson Tonight, that crossed the line. By: Half the people on my Twitter timeline right now",-1
16,16,16,16,16,16,16.0,250.0,"RT One of the policies being discussed would severely limit student expression and disproportionately impact LGBTQ students and students of color, which I wrote about for ",-2
17,17,17,17,17,17,17.0,1084.0,"RT PTSD can cause such emotions as anger, paranoia, mood swings, hypervigilance, depression, anxiety and nightmares. It's not a lot of fun. What does it not do? It doesn't turn you into: -Right Wing -Seditious -Racist -Homophobic -Fascist -Murderous psychopath -A helpless victim",-1
18,18,18,18,18,18,18.0,672.0,You think homophobic parents are welcoming trans children? Are you fuckin high?,-1
19,19,19,19,19,19,19.0,917.0,RT *why the guardian may be behind the emergence of homophobic stigmas ,-1
20,20,20,20,20,20,20.0,549.0,"Frank, you seem to buy anything and everything the left is selling. No thoughts of your own. Just wear the mask, just get the shot, any crazy LGBTQ idea, abortion is a right, stand with Ukraine, Antifa, BLM Im sure you blinded support them all",2
21,21,21,21,21,21,21.0,1040.0,RT I find the transphobia of gender-critical gay men self-indulgent. Cisgender men hold the most power within LGBTQ+ spaces. Their begrudging attitude towards the advances of trans people doesnt seem to be grounded in reality. @jamesdgreig ,-1
22,22,22,22,22,22,22.0,190.0,Time that Truss is asked questions about the ban on Conversion Therapy. But of course you wont because you dont think its a vote winner! How many people will take their lives because they are taught self hatred,-2
23,23,23,23,23,23,23.0,506.0,"RT ""the gender *you* assigned him at birth"" how is it they understand that part so well",-1
24,24,24,24,24,24,24.0,330.0,i just bought 3 homophobic flags from there!! and they have a great supply of casual racism flags as well! ,1
25,25,25,25,25,25,25.0,376.0,"RT THIS SATURDAY at 2 PM EST well be hosting a Q&A with Sexuality and Socialism author We hosted a reading group on her book, and were excited to build a mass movement for LGBT liberation! ALL CHAPTERS are welcome! RSVP: ",-1
26,26,26,26,26,26,26.0,542.0,"Yeah, take a step back and think about what happened the last time homophobic rhetoric was attached to an epidemic. ",-1
27,27,27,27,27,27,27.0,599.0,"RT You not lying. live saying gay men are destroying the black community as if they not out here disrespecting black woman, being homophobic, etc. ",-1
28,28,28,28,28,28,28.0,110.0,"RT To tackle LGBTQ+ youth mental health inequality, statutory NHS services must address specifically the mental health needs of LGBTQ+ young people. Check out our article in journal: ",-2
