,text,label
3579,"自由美利坚，纽约曼哈顿教堂发生枪击案。
由于受到新型肺炎疫情影响，教堂改在门外的台阶进行歌唱表演，现场有大约200名观众。一名男子携带两支手枪，走近教堂，向天空及警方开了几枪，警员开火还击，枪手之后被制服，他受到枪伤，送院抢救，及后伤重不治。当局正调查他的开枪动机。
#天下之事# ​​​",-1
1441,这是比美国还了解美国的中国“智囊”的被迫害妄想症集群，帮美国想辙，自己吓唬自己没必要，我们走自己的路，办自己的事，保持战略定力，因为我们在势，在历史正确的一边。美国🇺🇸的现状撕裂是表象，现实逻辑是缺少中国层面的凝聚力，向心力和执行力，历史逻辑是200年的文化怎能撼动5000年的文明,0
3045,"孟晚舟事件一直悬而未决或悬而不决，难道不值得深思吗？
美国、加拿大，都号称是法制国家的典范，难道他们不懂法吗？孟晚舟究竟范没范法，难道事实不清楚吗？这些站不住脚的理由充分说明，孟晚舟事件久而不决另有隐情。
一年过去了，两年过去了，华为也好，孟晚舟也好，甚至整个中国人民，都在蒙受着不 ​",-1
3387,#美将北方四岛出生者认定为日本公民#【日媒：美将俄日争议岛屿出生者认定为日本公民】12月6日，日本媒体发布报道称，美将俄日争议岛屿出生者认定为日本公民。俄罗斯外交部在社交媒体发文，这是美国国务院试图质疑二战结果，并鼓励复仇主义的举动。http://t.cn/A6qZ8M61 ​ ​​​,-2
674,"还是到了这一天！美国死于新冠病毒人数超过其二战战死人数
http://t.cn/A6q4yOvF ​​​",0
3410,"央视新闻报道，根据美国约翰斯·霍普金斯大学的统计数据显示，截至美国东部时间15日16:25时（北京时间16日05:25时），美国新冠肺炎确诊病例已经超过1665万例，达到16651589例，死亡病例已超过30.2万例，达到302689例。

#财经新闻##我想试下微博一天能发多少条微博# ​​​",-2
3593,//@一领淡鹅黄:不制造焦虑特么能死…cb insight的报告我看过，全球独角兽里14%是金融科技，但中国独角只有7.2%是金融科技。最大头是汽车交通和文娱媒体，还有海量其他类型公司。制造焦虑就算了，还要踩一脚中国公司捧下美国公司，榜上其他公司招你惹你了？ http://t.cn/A6GkMare http://t.cn/A6GkMp30,-1
3144,#潜龙爆料幽默话题[超话]#世卫组织为中国正名，病毒源头水落石出，这下美国的锅甩不动了#甩锅##潜龙爆料幽默话题##蛛网搜奇趣##蛛网搜奇趣话题##杭州##我的大余杭# http://t.cn/A6GDb623 ​,-2
2569,#军事分享官#【美国刚宣布重返月球，马斯克的星地运载火箭就爆炸了】当地时间12月9日，美国副总统彭斯宣布了接下来的美国登月宇航员团队，该团队包括9名男性与9名女性。据悉，这18名宇航员将会在2024年重返月球。如果登月成功，这也将是女性宇航员首次登上月球。就在彭斯宣布宇航员团队的当天，美国太 ​,0
3781,我记得光明有款低脂奶和美国超市里买的奶味道一样，超清甜超好喝//@宜家鲨鱼:好，从此在我这光明就是最好的奶了,1
