,label,text
654,0,"No matter who is the Democratic nominee, the most important mission of him or her will be to defend Biden & (C).   Giuliani, on his YouTube channel, is revealing all the crimes committed by Biden.   Burisma-Ukraine-Biden looks like nothing, compared to China-Kerry-Biden."
708,1,This is a war initiated by China on all democracies in the world. We hope all should say loud for human rights.
4022,1,Exports to China Plunge 16% After Canada’s Arrest of Huawei CFO - Canadian exports to China see largest decline in more than two decades #trade #China  https://www.bloomberg.com/news/articles/2020-02-05/exports-to-china-plunge-16-after-canada-s-arrest-of-huawei-cfo …
2023,0,No idea. What’s the definition of ‘transmission outside china’? anyone?
1400,1,Who in their right mind would report that #coronavirus fears have faded? How much is Communist China 🇨🇳 paying @ReutersBiz to print this propagandistic malarkey. #FakeNews now willing to spread falsehoods that will endanger lives. #EnemyOfThePeople #ChinaTOXIC 😷 #nCoV2019 #Q
2765,0,Bloody racists. Not allowing the Chinese into China
1549,1,China Speeds Up Opening of Market to Investment Banking Giants  https://www.bloomberg.com/news/articles/2020-01-15/china-speeds-up-opening-of-market-to-investment-banking-giants …
3822,1,Got the dior from china alrady for $130 so suck on that embappe...
1775,1,"Working! Working! President Tump is working to make this country to be a great nation by signing a good deal with China. On the other hand, Pelosi and other Democrats are busy to impeach a working president! People should vote a party who is working to make USA is a great nation!"
2040,1,"As per the Cambodian labor ministry, if the raw material shortage from China drags on, 90,000 garment workers could see their jobs suspended by the end of March. Workers then may not have the savings to tide their families over until work resumes.   https://qz.com/1809436/coronavirus-is-hobbling-factories-in-cambodia-vietnam-myanmar/ …"
1078,1,China Has Not Accepted U.S. Offers to Send CDC Experts to Aid in Coronavirus Fight  https://www.breitbart.com/asia/2020/01/28/china-has-not-accepted-u-s-offers-to-send-cdc-experts-to-aid-in-coronavirus-fight/ …
3486,1,There are six Cambodian trade centres in China of the hike in investment can be friends.
1609,1,Foreign companies it might a good time to leave China and move your mfg. to another country!  https://twitter.com/MAAWLAW/status/1226623139683192843 …
