,text,label
3042,"HAPPY 4-20! EXCELLENT comprehensive article on the way capitalism has shaped Legalization. Millions jailed for possession, now the bosses are making billions through their ownership of the industry. ",-2
543,"Won't bat a single eye at the abuse of percs, opioids, and much worse. Smh.",1
2351,"Just legalize drugs. Decriminalization isn't enough, because you need a clean supply. Let adults make their own decisions. And with softer drugs available, legally, a lot won't go to the harder drugs. Criminalization drives hard drug use. ",-2
1963,"I would bet that there would be majority support for legalising cannabis in Australia, too.",-2
3991,"Look at this fucking Crackhead , yeah we get it pal, you smoke weed",1
438,RT Incredible. $CLVR has SOLD its first THC cannabis flower in the United States. Yet another thing no one expected or thought could legally be done. I hope people can understand the shift in the landscape this could possibly create. Very proud of our team! ,-2
2668,"Wishing you the best. Weed's legal where I live, but I remember well the draconian penalties back in the day. Peace ",-2
1844,Shaowik buy drugs from drug dealer as WhatsApp chat cearly shows for his Dad and they themeselves are not consuming th drugs not even Rhea so clearly thse drugs are used for Sushant only. CBI Any Update On SSR Case Conti..,0
679,Trends in seizures of powders and pills containing illicit fentanyl in... ,1
135,"Third Party delivery is a dumb idea. We hear restaurants complain about how much they are charged for those services, and in the regulated Cannabis industry, more fees for retailers to pay makes no sense",-1
1829,smoking my silly little weed and listening to my silly little tunes this is what life is about.,-1
1821,They prefer weed. My ginger cat used to grab my bag out of my purse and try to take off with it.,0
2051,How Will the War in Ukraine Affect the European Cannabis Industry? via @high_times_mag,0
541,I used to be against marijuana until my mom got sick. She had cancer & unable to eat anything. I called her one day & she had just smoked one & was eating a whole pizza alone.  Not allowing the dying something that will bring comfort is a crime.,-2
2230,"We should stop incarcerating father's for non-violent drug use and petty crimes then. The world's ""freest"" nation has the largest per Capita incarcerations. End the War on Fathers (and drugs)",-2
469,"Hundreds of thousands of people have been locked up for drug offenses after a hyper-media driven war on drugs campaign, steven donzinger is in prison, people get sent to jail for killing their rapist, etc. The fuck are you talking about?",-1
354,"Correct, I don't, I can only speak of the ppl I know and their experience. I don't think their stories would differ much except for maybe someone became addicted to pain killers and now is a drug addict.",1
1706,cool but worth noting drug crime probably wouldn't be violent if it wasn't a crime..,-1
2176,"Same, but due to COVID I haven't celebrated Thanksgiving for 2 years because of my super conservative grandma, and my anti vaxxer Aunt, I would rather eat turkey burgers and smoke weed at home than eat a huge meal and die a month later",-1
656,I'm on TD. No problems. I own all different types of cannabis positions,-1
1436,"Naloxone, when administered in time, can reverse the effects of overdose from prescription opioids, heroin and fentanyl. Narcan, a nasal spray version, is available through pharmacies without a prescription. You can learn more at ",0
