tweet_id,text,scale
1445534511203188748,RT BERDO 2.0 is a monumental achievement that will have positive impacts on our residents for generations to come. We know that the negative effects of climate change bear a disproportionate burden on our most socially vulnerable communities. ,Strongly agree with climate change
1475830538170769412,"#COP26 Morals inform we do not follow blindly those who are bigger, more powerful, but plough our own furrows based on moral conviction, science; take note of environmental/people destruction of Global Warming + Climate Emergency manefestations. Cut traffic now!",Strongly agree with climate change
1456001309635719172,"Yes, but some are more inadequate than others. US Constitution is disastrously outdated & weaponised by a Republican Party that is proto-fascist now, with scope to get even worse. It's a dire state of affairs in USA & very ominous for global climate action if GOP wins in 2022-24.",Strongly agree with climate change
1465715651390046209,"RT Baker calls wearing a mask hell. He wants hell. His voting record: voting against greaterregulation of gambling, for restricting the scope oflegalaid, for astrict asylum system, against measurespreventing climatechange & for a reduction in spending onwelfare benefits.",Strongly agree with climate change
1458869220951928836,"The scientists point to a ""rapidly shrinking"" carbon budget to limit warming over the century to 1.5 degrees Celsius. ",Strongly agree with climate change
1488097976903892992,Hell I told everybody this is due to global warming.,Strongly agree with climate change
1511745764912816128,Climate change is historical and keeps changing. Only nincompoops believe it's a crisis.,Slightly disagree with climate change
1514679499417337858,"Maybe our politicians would feel more inclined to address climate change if they spent more time in the rugged, wild landscapes of the mountains, and less time trying to amass power, wealth, and their so called, legacy. My heart aches for our beautiful home.  ",Strongly agree with climate change
1516424522970320912,You do not have 1 dedicated climate crisis reporter. You have no climate crisis editor or news desk. Your publisher moved your HQ to a Chevron owned town close enough to LAX to be overcome by jet fumes. has 0 credibility on climate. #Gaslighters ,Neutral to climate change
1475594273491988488,"Too many people called BS. Time for them to move on to Plan B. Get ready to be overloaded with ""climate change"".",Strongly agree with climate change
1461758006886952962,RT Watch this space. Will Australia's lobbying succeed - to severely weaken new climate policy for #WorldHeritage Areas? ,Neutral to climate change
1514290581400285185,And soil is so crucial for all the conservation efforts and for climate crisis we are trying to fight. #SaveSoil #ConsciousPlanet ,Slightly agree with climate change
1469773412012863493,"Biden called himself a climate leader  then turned around & handed our public lands to Big Oil. Nearly 25% of US climate pollution comes from extraction & burning of fossil fuels on public lands. This is an embarrassing, disastrous failure of leadership ",Strongly agree with climate change
1492744573625458688,"I have become very concerned by many mainstream climate scientists dismissing the concerns of activists and other scientists/academics, about a near future civilization collapse, inducted by the climate and ecological crisis, as ""doomsterism"", by ""doomsters"". 1/ ",Strongly agree with climate change
1515406570061926400,"Dead rivers, polluted oceans: Industry adds to world's mounting water crisis, report warns via @usatoday",Irrelevant
1487934898795069442,"Baker is heavily embedded into the Libertarian networks, herd immunity is just their latest wheeze, there is the ""free cities"" project to create essentially privatised tax havens inside cities, and there's climate change denial as well ",Neutral to climate change
1471936219994984448,"RT I've been looking through the media archives and it appears the stare down' is Scott's go-to policy tool - climate change, COVID, China, borders, superannuation - Brave Scott just stares it down. Uncanny! ",Neutral to climate change
1487934406685831168,"The Christian Democratic party, CDS, one of the founding parties of Portuguese democracy that have been in parliament continuously since 1975, is out of parliament for the first time. A party family on extinction watch across Europe.",Irrelevant
1461757848329736195,"Join us 12/8 for a public lecture: ""MAD Water: Mobile, Adaptive & Decentralized Infrastructure for the Climate Change Era"" We'll discuss how a MAD Water approachleveraging engineered & social infrastructurescan address global water insecurity. Because failure is not an option. ",Strongly agree with climate change
1487533843322183685,"A very powerful military weapon; hydrocarbon energy. Germany disarmed itself. The United States is trying to disarm itself. The green movement wants disarmament. John Kerry is the disarmament Tzar. Russia, China, Iran, Qatar et. al. don't give a damn about climate change.",Strongly agree with climate change
1502744685370036231,I genuinely don't know how climate change deniers still exist....,Strongly agree with climate change
1482499580495335429,The vice president doesn't care about climate change. She and the rest of the administration pretend to care. We don't have until 2050.,Strongly agree with climate change
1505647649877336070,"It's never black & white. US/#NATO 50% guilty in #Russia-#Ukraine war. Maybe they wanted it=massive boost to US oil, gas, & arms industry, crippling Russia, aborting climate change drive. US/#CIA trained jihadis Russia-#Afghanistan war 1980-88, now again ",Strongly agree with climate change
1482324944616927235,"Did you know that Nigeria is one of Africa's top six greenhouse gas emitters? The world cut its global emissions to net zero, and achieve the desired temperature. However, unprecedented leadership, sacrifices, and innovative thinking are required to drive action #WhatHasChanged ",Strongly agree with climate change
1435392080021499914,"Should have been responsible human beings, knowing they didn't want a child and controlled their OWN BODY not murder the one they created. Settled science provides multiple ways to not create an unwanted pregnancy. Those same murderers will demand others accept climate change. ",Strongly disagree with climate change
1474868869294604295,"Have to disagree. There are renowned zoos that contribute to conservation and protection of species. And there are worse zoos that do not. But in this day and age with habitat destruction, climate change, and huge human populations, zoos preserve what would be lost.",Strongly agree with climate change
1474380202620895244,The has launched a call for evidence on macroprudential rules for banks to limit systemic risk. What can we learn from the Covid-19 shock? Are the current rules fit to address emerging risks such as climate change? #EUHaveYourSay by 18 March ,Strongly agree with climate change
1517588038158741505,"Blow it out your horn buddy. There is no climate change except as invented by the WEF, our shitty world governments and the MSM.",Strongly disagree with climate change
1457418141168979979,'This was a turning point: the breed could easily have become extinct if urgent genetic management had not been established'. research to safeguard England's oldest established horse breed - the Cleveland Bay - in the today @ChemChook,Irrelevant
1448402361848893448,5:40 time mark - #CNN director Charlie Chester reveals the next Global Crisis that will be used to coerce society into political manipulation will be climate change. The mandates are illegal and politically motivated. ,Strongly disagree with climate change
1516095169724043272,"Only way climate change & comprehensive new gun law's will happen is if Dems have a large majority in Senate & House, Remember Manchin Sinema> a large majority we can screw Manchin & Sinema, They certainly have been screwing American people,",Strongly agree with climate change
1466057495185608705,RT New climate change horror. Dr Viner proved wrong. ,Strongly agree with climate change
1450221215654637570,"Didn't Greg Hunt do an honours thesis on why a price mechanism, or carbon tax, is the most efficient way of combating global heating?",Strongly agree with climate change
1462909168705224714,They are amazing animals and we've lost a lot in North America due to climate change.,Strongly agree with climate change
1508025755691003909,"How does Ramon Ang contribute to the worsening of climate crisis? 1. Destroy mangroves in Bulacan that could have absorbed CO2. #SaveTaliptip 2. Induced demand by building PAREX, thus increasing emissions. #NoToPAREX 3. More carbon emissions from private helicopters. ",Strongly agree with climate change
1444036252571824130,RT Yeah nah I don't think someone who engineered fraudulent lies about a retiree tax should be rewarded but that's the IPA for you. Keep punching down on us ordinary people & ignoring Climate Change.,Strongly agree with climate change
1464966473785434119,"RT When will Cdns catch on that this is virtue-signalling, not effective policy? The fact that govt never wants to measure the impact of their climate policies speaks volumes. How much pain do avg Cdns have to endure? ",Strongly agree with climate change
