,label,text
2601,0,You are not being sold by Duterte to China. He just don't know what is best for the country because no one told him.  https://twitter.com/citizenjaneph/status/1229657388489162752 …
3721,0,Drone Army Disinfects Chinese Villages Amid Virus Fears.  An army of drones is being deployed in villages and cities across #China to disperse disinfectant as the #Wuhan coronavirus escalates in severity.  #CoronarvirusOutbreak #coronawirus #coronavirus pic.twitter.com/R8KLayABcA
1438,2,Touches on significance of traditional Chinese medicine in China. #china  https://foreignpolicy.com/2020/02/03/tcm-shuanghuanglian-pseudoscience-chinese-media-is-selling-snake-oil-to-fight-the-wuhan-virus/ …
1752,-1,i don’t live in portland anymore thank Gd but in the eug it’s not much better the other day i passed a stand selling the CCP newspaper and saying “stand against imperialism w china”
1313,-1,"The next question is: with the oublast of #coronavirus  and economic regression, could it leads toa complete political revolution?  A more democratic #china is beneficial to all."
2871,-1,"This ruthless beast can only be tamed by fear of engaging a deadly enemy. China and Russia must show their teeth or the vampire will launch against Iran sooner than later a new war, vastly more devastating than all previous Middle East wars combined"
2996,-2,"Yeah don't say anything bad about China, they will cut your pay."
3941,1,China seeks help of national tech giants to track coronavirus with QR codes  https://www.reuters.com/article/us-china-health-qr-code/china-seeks-help-of-national-tech-giants-to-track-coronavirus-with-qr-codes-idUSKBN20B10T?feedType=RSS&feedName=topNews …
1809,-2,In the same day: • Impeachment trial of POTUS • UK officially leaves EU • Potential evidence the coronavirus was an HIV-infused bioweqpon from China  pic.twitter.com/XSD5mL9Uqr
2056,0,"China, was not declaring war. It's a full 45 minutes."
2797,0,"@lookner  “Ground Zero"" For China's Virus - Hubei Province Prepares 100,000 Hospital Beds | Zero Hedge  https://www.zerohedge.com/health/ground-zero-chinas-virus-hubei-province-prepares-100000-hospital-beds …"
756,0,Why new diseases keep appearing in China  https://youtu.be/TPpoJGYlW54  via @YouTube  WARNING this is/can be disturbing but it DOES explain why of SARS and now this new Virus-19
3504,-2,China’s communist government is to blame for the situation being as bad as it is.  https://worldaffairscenter.com/2020/02/02/the-coronavirus-scare-highlights-the-failures-of-communism/ …
2395,0,he had a chance to speak in China for the protesters and nothing but silence but now he found his voice ?
3153,1,rich brian representing Indonesia Higher Brothers representing china  Manila grey representing Philippines
1179,0,No flight to China? Wuhan virus has you guys quite stirred up. But then again it is not the first time you neglected your China market in your marketing.
2170,0,"Sun Yáng was cleared by the inquiry committee and waiting to hear from appeals board who are most likely going to clear him...Mack Horton stance was considered racist by China, what has Mack done to have a pool named after him anyways? For whinging about coming 2nd?"
1972,-1,"America spends trillions of dollars on over rated, inefficient and very expensive Military equipment when Russia and China can compete by spending far less by purchasing smart weapons  https://twitter.com/farnazfassihi/status/1213855988186570755 …"
919,1,Lunar New Year means everything in China. Canceling celebrations is a massive deal - CNN  https://www.cnn.com/2020/01/24/china/virus-lunar-new-year-intl-hnk-scli/index.html …
1261,2, https://youtu.be/kSov7MpaIIg  Shaun Murphy vs Yan Bingtao Snooker Welsh Open | Semi Final #ShaunMurphy #YanBingtao #WelshOpen #Snooker #Final #China #coronavirusus #iHeartAwards #trump #Iran #ronnie #Darts #MichaelVanGerwen #football #tennis #monfils #federer #nadal #messi #ronaldo
105,1,The Chinese city of Wuhan is set to build a hospital in six days in order to treat patients suspected of contracting the coronavirus @BBCWorld asks How can China build a hospital so quickly?  https://www.bbc.com/news/world-asia-china-51245156 …
1186,-2,#HKPoliceState #HKPoliceTerrorist #SOSHK #china_is_terroist pic.twitter.com/R4rpgh1ZaZ
2000,1,China denounces ‘political’ attack on Huawei by Pompeo  http://rviv.ly/0qW7ng 
1881,0,"Meanwhile in Washington, the President just signed a landmark Phase One Trade Agreement with China — making good on his promise to fix the failed policies of the past by fighting for American workers and American industries."
3199,1,China has started construction of 1300 beds hospital for the treatment of coronavirus patients..it will be completed in six days...
2644,-2,"Slave markets in Libya, slave labor in China, starvation in Venezuela, Christians persecuted in Africa. Are we supposed to occupy every country forever to right every wrong? Are you willing to go die in these far away places? Condemn your family or other people's kids to die?"
3692,-1,"Hey what's your take on china yet? Did you brother educate about how great communism is, killing baby girls, and what not? Asking for a friend. 99% of warriors fans just like 99% of my followers dont care about our political views."
376,-2,Yo China man GFO!  STAY OUT CHINK!   https://news.yahoo.com/north-korea-border-shut-china-112338268.html …
3632,-1,I don’t care what China accuses the US of. Oops ended a sentence with a preposition 😁.  https://twitter.com/Reuters/status/1224413494381989888 …
3186,-1,"US @StateDept designates five Chinese media outlets as “foreign missions” – essentially diplomatic arms of #China’s govt – requiring reports on personnel & property: Xinhua, CGTN, China Radio Intl (CRI), China Daily & Hai Tan (People’s Daily) –@cjf39/@ABC > https://abcn.ws/2HyD9aT  pic.twitter.com/LxRLiHfxU6"
1053,0,Did ya order it from China?
1044,0,"China's top virus lab is in Wuhan, the center of the outbreak  https://www.dailymail.co.uk/health/article-7922379/Chinas-lab-studying-SARS-Ebola-Wuhan-outbreaks-center.html?ito=amp_twitter_share-top … via @MailOnline"
2506,2,"This is Chinese socialism is in action. China owns its healthcare, science, resources, etc. industries and owns all its land (no private property ownership)—which enables China to produce and distribute resources for the good of the people and not profit.   https://twitter.com/globaltimesnews/status/1221297473055969280?s=19 …"
2974,-2,Conspiracy Links Deadly Coronavirus to Human Made Bio-Weapon in China Lab  https://urbwise.com/2020/02/20/coronavirus-could-be-human-bioweapons/6768/ … pic.twitter.com/Q21tQ4XndO
1032,0,"I love 'Shinjiang' (China), and ofcourse for that u can Call me Islamophobic 🤣🤣🤣"
1380,-2,"Corona virus a result of China's bio-warfare experiment, says Israeli biological warfare analyst:  https://www.organiser.org/Encyc/2020/1/29/Corona-virus-a-result-of-China-s-bio-warfare-experiment-says-Israeli-biological-warfare-analyst.html … via @eOrganiser"
3458,-2,"Thanks for standing with China, together you are representing evil.  https://twitter.com/HongKongFP/status/1217091221090267137 …"
2106,-2,"May be China should stop what triggered this virus in the first place, and the world would have been fine. 🙄"
2711,1,"China PM who told we'll translate the Quran as our own  realised that the only one way to protect from the korona virus is doing 'sajtha' to Allah and went to mosque to pray,  ALLAH Ho AKBAR  pic.twitter.com/v6iAgClzaa"
280,-1,"The beginning efforts to have America follow in paths of outright Communism and Socialism ala China, Russia, etc."
2807,-2,"Fossil fuel use (natural gas) is the only thing that has ever reduced CO2 usage successfully (a little!) in America (by replacing coal).  Also, China is the problem. Do your activist crap there.  pic.twitter.com/wDwBgvpVSG"
2734,0,...so #China is spraying disinfectant in the air along roads to halt the spread of this non-airborn #coronavirus just for fun. Got it.  https://twitter.com/TruthRaiderHQ/status/1220033745094414339?s=20 … #wuhan #fakenews #propaganda #lies #canada #cdnpoli #pandemic @jjhorgan @bcndp @JustinTrudeau @liberal_party
1632,1,Don't you have a golf date in China? Best get going.
839,0,China which is state capitalist and India which is capitalist? Uhh  And pretty sure people *checks notes* are the ones that created and perpetuated capitalism
3195,-2,All I'm saying is that China was really starting to feel the pressure from the whole Hong Kong protest thing and then some crazy virus starts and every one forgets also recycling drive coming soon! #YangGang
4004,0,U.S. weighs blocking GE engine sales for China's new airplane: sources  https://ift.tt/2Sw6bOO 
3578,-1,Trump Trade Deal Raises Issue of Trusting China to Deliver   https://bloom.bg/30kvnKr  @bpolitics
3246,-2,"Australia's longstanding cozy consensus in favor of close engagement with China, its  biggest trading partner by far, has shattered. This article seeks to unfairly paint the Australian Strategic Policy Institute (ASPI) as the villain.  https://www.afr.com/policy/foreign-affairs/the-think-tank-behind-australia-s-changing-view-of-china-20200131-p53wgp …"
2625,-2,"Shipments from China pose a health risk, Bioweapon Virus lives in open exposure for 20 days. Refrigerated or shielded in the container product packaging who can say."
553,1,Malaysia announces Visa-free entry in 2020 for tourists from India and China  http://dlvr.it/RMGLyv  pic.twitter.com/xkXjZkrF7t
1709,-1,China’s Huanggang City Government: To Seal All Residential Complexes At Start Of Feb 14
3568,1,"The new ship, Century Glory, offer comfort and indulgence at exceptionally good value for money.  http://dld.bz/gN7ma  #China #News #Travel #Cruise #News2019 pic.twitter.com/Kx3ZL7YBSG"
443,-2,It demonstrated the power of universal censorship in China.  #antichinazi pic.twitter.com/VGpoWghw9I
3014,-2,"will global institutions substitute in important ways? China has far more capacity than 2003, greater intl integration, shared info early... but can more robust global networks substitute for free press, how deal w trust issues?  #nCoV2019 #coronavirus  https://twitter.com/mrc_outbreak/status/1221032729971773440?s=21 … https://twitter.com/MRC_Outbreak/status/1221032729971773440 …"
2315,1,"My #Thucydides moment (for this week) is to observe the current Peloponnesian #War in our midst, the #coronavirus, writing caveats + updates. Unique #emergency #hospital is being built in #Wuhan, which is intended to be torn down immed. after #MegaVirus chills out. #ChinaVirus  https://twitter.com/guardian/status/1220729384031735808 …"
311,-2,#China Expands Chaotic Dragnet in #coronavirus Crackdown... The “wartime” campaign to round up all who might be sick was extended for all China and left some to die... Remember: Gotcha!  pic.twitter.com/ChBwX5qibC
1603,-1,Coronavirus by the numbers; wartime measures in China  https://youtu.be/bf9a_I5kCDk  via @YouTube
29,2,"As #Medical  professionals in Wuhan, Hubei province, continue to battle the #coronavirus , their peers from all parts of China have been heading to the city to offer assistance. More than 11,000 medics have been sent to threre since the start of the outbreak. (Source/ChinaDaily)  pic.twitter.com/IRKhx19NeE"
3665,1,"You can't sit their and say she's anti HK. You might as well tell that to other celebrities from China that's also supporting the country over HK. Funny how y'all call her evil, a terrorist, etc. and don't even have the balls to say that to her face."
603,0,"There are novel coronavirus (2019-nCoV) cases reported outside of Wuhan, within China. These cases were identified because of searching and testing for cases outside Wuhan.  https://twitter.com/WHO/status/1219026530636091392?s=19 …"
1123,0,"China Has Ground To A Halt: ""On The Ground"" Indicators Confirm Worst-Case Scenario | Zero Hedge  https://www.zerohedge.com/economics/china-has-ground-halt-ground-indicators-confirm-worst-case-scenario …"
2018,0,"Yeah right, like it destroyed China."
1213,0,World Bank not considering new China loans to fight coronavirus  https://graballnews.com/world-bank-not-considering-new-china-loans-to-fight-coronavirus/ … pic.twitter.com/uj13mTgG2s
1823,2,"As China celebrates Spring Festival we know some people in Hubei are suffering. But, with the effort of Chinese government/people, Coronavirus will come under control soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for China and the world"
1100,-2,"Discussing China and the WTO, trump is taking rhetoric from the business class as opposed to the political class, being that china uses it as a weapon.  When china joined the WTO it was highly contentious (human right abuses), but Clinton pushed it saying trade cures all evils."
2064,-1,Hopefully it will pass us by.  Watch the live feeds from China that have been snuck out at great cost to the bloggers who risked their lives to tell their stories.   You will quickly realise this isnt any ordanary naturally evolving flu
3696,0,Coronavirus: Thermal screening of flyers from China begins at 7 airports  http://dlvr.it/RNT2KN  pic.twitter.com/NrOTAV30b3
1436,-2,@BillClinton When you were president you declared the people's republic of China a strategic partner of the United States. Simultaneously the PRC was and continues to steal an amazing amount of cyber information from American repositories.....
1174,-2,"Nazi’s bad because killed 5 million people.  Communist Stalin/USSR killed 20 million people! Chairman Mao of Peoples   Repulic of China number is debatable some say killed 40 million some say 75 million?  Lets just settle on, “he is a bad person”.  Pol Pot killed  2 million!"
3860,0,"Disruption of trade with China will tank the world economy for at least a quarter, taking with it companies like 3M."
177,-2,"Now it is a common issue for China’s police force to break into citizens’s and destroy their only entertainment—Mahjong, the most wildest loved game in China.  現在中國的警察動不動就擅闖民居，破壞民眾打麻將的唯一自我隔離方式。  pic.twitter.com/xeHx8vqtjC"
2779,-1,Just watched to hear reporter say #CoronavirusOutbreak is suspected to have started in a meat market in China. The suspected meat? SNAKES.  https://twitter.com/CTVNationalNews/status/1219818643128770561 …
