,text,label
1,"there's 40,000+ americans incarcerated for marijuana possession.. but this man can fatally shoot 2 people w an assault rifle & be found innocent. make it make sense ",-2
2,Takeaways from Our Conversation on State Cannabis Regulations and Their Impact on Insurance #cannabis #cannabiscommunity #weed #marijuana #thc #cbd #cannabisculture ,-1
3,"As N.C. continues to struggle with opioid epidemic, naloxone shortage could lead to thousands of overdose deaths. Because North Carolina Republicans are just that good. ",-1
5,the use of crackhead and the connotations behind using crack to describe things is anti-black and comes from reagan's war on drugs which disproportionately criminalises black folks,-1
6,if you need me i'll be smoking more weed & giving less fucks,-1
12,"As I watch someone I know circle the drain in the worst way, seeing the NYT glamorize addiction and substance abuse is fucking gross. As always, the New York Times is trash. ",1
13,"Deadly drugs like fentanyl cross the US border every day, but preferred to declare war on the importation of Mexican avocados instead of drugs, affecting at least 300,000 direct jobs, and more than 1,000 ,000 indirect. ",1
16,"This year, we teamed up with two experts to envision a new kind of spirit. Pulling inspiration from the golden era of cannabis in the late-1800s American West, fermented and distilled hemp is blended with botanicals & natural terpenes for a distinctly West Coast flavor profile. ",-1
17,"Day 105 of calling on to call a Special Session to decriminalize marijuana, pardon nonviolent cannabis offenders, expunge past cannabis convictions, and set up a legal, regulated, adult-use marijuana market with home grow protections.",-2
18,"More data on the #cannabis & #schizophrenia relationship... Association still =/= causation, and in fact cannabis exerts a 'modulatory effect.' #ksleg ",-1
20,This group of dangerous synthetic opioids that can be up to 40 times more potent than fentanyl. ,1
21,Weed being legalized in New Mexico just means the guy in Turquoise telling u about sacred geometry will now feel god levels of fearlessness reeking of weed in your place of work,0
22,"NEXT WEEK: ""Drug War Dragnet: Surveillance, Criminalization, and Freedom from Drug War Targeting"" April 27th 12-1:30 EST Keynote with April 28th 12-6pm EST Sessions with Amazing Speakers All Day! RSVP: ",0
28,"if kim potter never intended to hurt anyone, how come she never helped daunte wright as he was dying? also i know ppl serving longer sentences for weed than this bitch will for killing someone ",-1
30,SAFE Banking should actually help the small dispensary more bc the Curaleafs and Trulieves of the world already have full credit facilities/banking services. It's many Mom & Pops stores that don't. So the misconceptions that SAFE predominently benefits Big Cannabis is baffling.,-1
31,marijuana needs to be treated more like wine and less like heroin,-1
34,"New York legalized marijuana and is expunging possession and sale convictions. This is what justice looks like  and it's what every American deserves. It's time for the Senate to pass the MORE Act, legalize marijuana across the country, and expunge all non-violent convictions.",-2
37,It's a stressful job that's why I stay smoking weed,-1
38,"That's why I like being a medical marijuana patient, because people are shady",-1
