,text,label
1,#凤凰新闻#【港媒：在这个领域 中国首超美国成为第一】据香港《南华早报》网站报道，在人工智能专利申请方面，中国现在首次超越美国成为世界第一。在美中爆发科技和贸易战的背景下，这一发展态势提振了中国作为人工智能第二大市...http://t.cn/A6qwRd8k来自@凤凰新闻客户端 ​​​,0
4,看着苹果突破万亿，亚马逊、微软即将突破万亿，资本的泡沫逐渐膨胀到爆破的顶点，别忘了97年亚洲金融危机，08年美国次贷危机，新的危机周期即将来临，不是18，就是19，而最可能的引爆点可能就是中国的房地产和美国互联网科技企业。  ​,0
6,"【#4000万美国人将被赶出住所#？】
此前，美国疾控中心曾发布一项全国性指令，要求年底前暂时禁止驱逐拖欠房租的租房者，该指令将在2020年12月31日到期。美国媒体指出，“纾困断崖”可能导致大量租户被驱逐。
@小央视频 
http://t.cn/A6qA4s43 ​​​",-2
7,愿全球早日从疫情中脱困。你们美国人也懂点事给点力，少给你们自己国家造成更大的生命财产损害，也少给世界疫情防控工作添乱。安全第一位，收起不合时宜的愚昧的民主和自由，在面对传染致命病毒时要坚持生命至上，最大力量降低病毒感染的风险！然后才能不加剧医疗系统的压力和困境！别说什么中国威胁了,-2
9,"【#拜登最终获306张选举人票正式赢得大选# 】美国当选总统拜登周一在特拉华州威尔明顿市宣布了他获得306张选举人票，超过了赢得特朗普所需的270张选举人票。他说：“一些州进行了重新计票。所有计数都得到了确认。佐治亚州的结果被计算了三遍。结果没有改变。”
拜登将于1月20日宣誓就职，成为美国第46 ​",0
10,#财经[超话]# 【华尔街巨头#高盛集团或搬离曼哈顿# 向低成本地区转移】据美国媒体报道，华尔街巨头高盛集团正考虑在佛罗里达州建立资产管理基地，借机将更多业务和职位迁出纽约，这对纽约作为全球金融中心的地位构成了潜在打击。分析人士认为，一场新冠肺炎疫情，令美国大量企业采用远程办公的方式，不 ​,0
11,【#美国两名圣诞老人确诊新冠# 殃及五十多名儿童】美国佐治亚州卢多维西市近日举行了一年一度的圣诞庆典活动。活动结束两天后，两位“圣诞老人”扮演者的新冠检测结果呈阳性，这意味着当天与他们合影的五十多名儿童均存在感染风险。然而当地官员并没有立即组织孩子们进行检测，反而在新闻发布会上声称 ​​​,0
12,//@菜菜_DL: CDC的老大恳请人们戴口罩，说由于美国医疗系统承受着的巨大压力，接下来的三个月将会变得非常艰难。。。唉。  http://t.cn/A6GFmsnB,0
13,"#福奇被拜登提名首席新冠顾问#【#拜登提名美卫生部长等医疗卫生团队人选#】美国当选总统拜登7日宣布新政府医疗卫生团队提名人选，其中现任加利福尼亚州总检察长哈维尔·贝塞拉被提名为卫生与公众服务部长。

　　拜登过渡团队当天还提名美国国家过敏症和传染病研究所所长安东尼·福奇出任拜登首席医疗顾 ​​​",0
14,【#福奇喊话美国人新冠是真的#】新冠在美国的传播速度越来越快，但不少美国人仍认为新冠疫情是“假消息”，是“骗人”的。美国国家过敏症和传染病研究所所长福奇在多个场合强调：新冠病毒是真的，要想控制住疫情，人们首先必须承认现实，然后齐心协力支持防疫措施。（央视）http://t.cn/A6qLegdK ​​,0
15,"【#美国阿雷西博射电望远镜坍塌# 世界只剩中国FAST一只“天眼”】 美国国家科学基金会（NSF）当地时间12月1日确认，被誉为地球“两大眼睛”之一的波多黎各阿雷西博（Arecibo）射电望远镜塌了，望远镜很可能已不能再使用，重建是目前最可行的方法之一。阿雷西博射电望远镜若失去功能，那么全世界在天文 ​​​ http://f.video.weibocdn.com/HcbY6TJolx07Isiz9QI801041200aXhE0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1606898140&ssig=SeAMQYTWFo&KID=unistore,video",0
16,【#特朗普政府挑战中方底线第11次对台军售# 华春莹把话挑明了 坚决回击】12月8日，外交部发言人华春莹主持例行记者会。有记者就美国最新对台军售一事提问：此前据报道，7日，美国务院称，已批准向台湾出售价值2.8亿美元的先进军事通信设备。华春莹表示，中方对此坚决反对，中方敦促美方恪守一个中国原 ​,-2
18,//@吴向宏_投资无国界 :当然是真的。美国女性的家庭地位，从文化角度说，其实普遍低于中国女性。//@林沛满 : 感觉不像真的，美国女人强势得很。//@飘飘37 :女人太累了...,0
19,【美知名脱口秀《艾伦秀》主持人新冠病毒检测结果呈阳性】12月11日消息，美国知名脱口秀《艾伦秀》主持人艾伦·德詹尼丝 （Ellen DeGeneres）当地时间10日在推特宣布，自己的新冠病毒检测结果呈阳性，“幸运的是，我现在感觉很好”。据BBC此前报道，根据相关制作人声明，德詹尼丝的日间节目《艾伦秀》将 ​​​,0
20,流氓国家。教科书式的流氓国家。//被美国要求认罪换取回国，孟晚舟抵制：未做错任何事情 http://t.cn/A6qv62sV ​,-2
25,[笑cry]//@我不是谦哥儿:我还挺喜欢这仨段子[哈哈]//@拉瓦铀: 也挺好，说明中国目前防疫的情况还比较乐观，所以大家敢编爱笑。这要是像美国那种动不动死几十万人的国家，自己满大街不戴口罩的傻缺，连别的国家的人开心聚会一下都要嘲讽，可就太酸太惨了,-1
28,//@DemoDict :喷Trevor Noah没必要，又不是他能决定的。还看过几个其它脱口秀，例如John Oliver和Stephen Colbert，涉及🇨🇳时就有种无形的“政治正确”。美国传媒高度集中，这批人就是现代传教士，而我们是异教徒，异教徒也配谈实事求是？之前看国内人迫不及待捧他就觉得很无奈，真的很想被认同.j,-2
30,"【#特朗普私人律师朱利安尼确诊新冠#   四天前曾要求身旁证人摘口罩被拒】当地时间12月6日，据美媒报道，美国总统特朗普发推称，前纽约市市长、现任特朗普私人律师和竞选团队律师鲁迪·朱利安尼（Rudy Giuliani）已确诊新冠肺炎。然而，四天前在密歇根州一次听证会上，朱利安尼全程未佩戴口罩，他还质问 ​​​ http://gslb.miaopai.com/stream/q-oyonbSkz2GmZ2hx7BfaZPRq6ENzK941Qrr5w__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_ld&mpflag=16&ori=0&ps=1CwnkDw1GXwCQx&Expires=1607361593&ssig=sGr2nBHEQf&KID=unistore,video",0
31,//@不学习以后捡垃圾:我看到一个博主说美国是大号版的印度，精英很厉害，底层比较傻……我以前还觉得辱美了……但是最近真的被震惊到了，感觉确实有点点像……//@要要切合闹:？？？？？？？？？？美国怎么回事,-1
32,//@硅谷王川:很多时候解决系统的顽疾，最简单的方法就是让信息更公开，全面，迅速的传播，而不是强迫系统内的个体按照设计者的主观意志去做某件事。1986年美国通过法案，要求所有公司把其工厂每年释放的污染物数量公开，一些地方报纸据此搞了个前十名排行榜发布，结果据说几年后全国化工污染下降了40%,0
35,【美财政部借口委内瑞拉问题宣布制裁中企，华春莹回应】在12月1日举行的外交部例行记者会上，环球时报-环球网记者提问：当地时间11月30日，美国财政部宣布制裁中国电子进出口有限公司（CEIEC），其借口是“CEIEC支持非法的马杜罗政权破坏委内瑞拉民主的努力”，并宣称“像CEIEC这样的中企协助了马杜罗 ​,0
36,"【#外交部回应美将制裁12名中国官员#报道：坚决维护中方人员合法权益】7日外交部例行记者会上，有记者问：据报道，美国准备制裁至少12名中国官员，因为他们“涉及取消香港特区立法会议员资格”问题。制裁对象包括全国人大官员以及香港官员等，制裁最早可能在美东时间周一公布。中方对此有何评论？

发 ​",0
37,#美国对待新冠肺炎态度祸害全世界##很多美国网友称去年12月已感染新冠#美国人🇺🇸生性大大咧咧，不注意细节，所以身体有毛病了总是不以为然。这种对待生命和生活不够敬畏的态度也祸害了全世界。 ​,-2
40,分享网易新闻《美国再次集结新八国联军！俄罗斯提醒美国，中国已不是百年前了》 http://t.cn/A6qcDX5G 来自@网易新闻客户端 #网易新闻# ​​​,0
46,//@模型网:回复@苍之此岸花:是的，人家杀的早啊[doge]//@苍之此岸花:其实现在用印第安人攻击不了美国，反而是美国因为消灭了印第安人没有了大国常见的民族问题，以至于苏联间谍搞破坏时只能从黑人问题和阶级问题上入手。平时这些也就只能供国人自娱自乐，并非美国软肋//@模型网:印第安人：[泪],-2
47,//@地瓜熊老六:美国死了27万人，历史能不能给个答案？//@就喜欢看毒唯跳脚:一个性骚扰 和历史有毛关系  真特么的有病[怒],0
48,"#答案年终秀##中国该如何应对中美新格局# 王湘穗：台湾是中国的一道伤疤，美国政客哪懂这个？||拜登对台湾有情结吗？有拜登会为台湾拼命吗？坚决不会！P.S.小勺子抓住了湘穗老师，请教了很多问题(安排上了的表情) #洞见计划#  http://t.cn/A6GdipNZ ​​​ http://f.video.weibocdn.com/000Z7BMggx07InkY1pYc01041200cq0G0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1CwnkDw1GXwCQx&Expires=1606806856&ssig=xsDuIvz0U%2F&KID=unistore,video",0
49,【中国财富缩水打响保卫战 与美国试比高属盲目乐观】2月11日，开奔驰的老板可能兜里没有汽油钱，经济学家温元凯提出，中国财富正在缩水，上至国家，下至企业、个人都要保卫财富。业界公认，中国人均GDP与发达国家相比仍有较大差距。民富和国富相比，不是更重要的指标么？忌盲目乐观。[污] ​​​,0
