,text,label
1,#凤凰新闻#【港媒：在这个领域 中国首超美国成为第一】据香港《南华早报》网站报道，在人工智能专利申请方面，中国现在首次超越美国成为世界第一。在美中爆发科技和贸易战的背景下，这一发展态势提振了中国作为人工智能第二大市...http://t.cn/A6qwRd8k来自@凤凰新闻客户端 ​​​,1
4,看着苹果突破万亿，亚马逊、微软即将突破万亿，资本的泡沫逐渐膨胀到爆破的顶点，别忘了97年亚洲金融危机，08年美国次贷危机，新的危机周期即将来临，不是18，就是19，而最可能的引爆点可能就是中国的房地产和美国互联网科技企业。  ​,-1
6,"【#4000万美国人将被赶出住所#？】
此前，美国疾控中心曾发布一项全国性指令，要求年底前暂时禁止驱逐拖欠房租的租房者，该指令将在2020年12月31日到期。美国媒体指出，“纾困断崖”可能导致大量租户被驱逐。
@小央视频 
http://t.cn/A6qA4s43 ​​​",0
7,愿全球早日从疫情中脱困。你们美国人也懂点事给点力，少给你们自己国家造成更大的生命财产损害，也少给世界疫情防控工作添乱。安全第一位，收起不合时宜的愚昧的民主和自由，在面对传染致命病毒时要坚持生命至上，最大力量降低病毒感染的风险！然后才能不加剧医疗系统的压力和困境！别说什么中国威胁了,-2
9,"【#拜登最终获306张选举人票正式赢得大选# 】美国当选总统拜登周一在特拉华州威尔明顿市宣布了他获得306张选举人票，超过了赢得特朗普所需的270张选举人票。他说：“一些州进行了重新计票。所有计数都得到了确认。佐治亚州的结果被计算了三遍。结果没有改变。”
拜登将于1月20日宣誓就职，成为美国第46 ​",0
10,#财经[超话]# 【华尔街巨头#高盛集团或搬离曼哈顿# 向低成本地区转移】据美国媒体报道，华尔街巨头高盛集团正考虑在佛罗里达州建立资产管理基地，借机将更多业务和职位迁出纽约，这对纽约作为全球金融中心的地位构成了潜在打击。分析人士认为，一场新冠肺炎疫情，令美国大量企业采用远程办公的方式，不 ​,0
11,【#美国两名圣诞老人确诊新冠# 殃及五十多名儿童】美国佐治亚州卢多维西市近日举行了一年一度的圣诞庆典活动。活动结束两天后，两位“圣诞老人”扮演者的新冠检测结果呈阳性，这意味着当天与他们合影的五十多名儿童均存在感染风险。然而当地官员并没有立即组织孩子们进行检测，反而在新闻发布会上声称 ​​​,0
12,//@菜菜_DL: CDC的老大恳请人们戴口罩，说由于美国医疗系统承受着的巨大压力，接下来的三个月将会变得非常艰难。。。唉。  http://t.cn/A6GFmsnB,-1
13,"#福奇被拜登提名首席新冠顾问#【#拜登提名美卫生部长等医疗卫生团队人选#】美国当选总统拜登7日宣布新政府医疗卫生团队提名人选，其中现任加利福尼亚州总检察长哈维尔·贝塞拉被提名为卫生与公众服务部长。

　　拜登过渡团队当天还提名美国国家过敏症和传染病研究所所长安东尼·福奇出任拜登首席医疗顾 ​​​",0
14,【#福奇喊话美国人新冠是真的#】新冠在美国的传播速度越来越快，但不少美国人仍认为新冠疫情是“假消息”，是“骗人”的。美国国家过敏症和传染病研究所所长福奇在多个场合强调：新冠病毒是真的，要想控制住疫情，人们首先必须承认现实，然后齐心协力支持防疫措施。（央视）http://t.cn/A6qLegdK ​​,-1
