,text,label
0," I made it through my entire life without needing to own an AR-15, what about you? ",1
1," Make No Mistake: A primary reason for the GOP's Unwavering Support of Unfettered Gun Owner Rights in the face of widespread USA gun carnage is their desire to heavily arm White Supremacists in America, in anticipation of the #SecondCivilWar Republicans are planning.",1
2," This is my world - everyday I walk into my classroom and think, Is this the day my family gets the call? It's really not difficult..other countries have done it after far fewer deaths.",1
3, It's been a year since Nigerian forces opened fire on peaceful #EndSARS protesters at the Lekki toll gate in Lagos. A mother reveals the horror of finding her son amid the carnage of the shootings. CNN's reports. ,0
4," Sexual violence on men & boys by armed soldiers, carries deep social stigma & impedes reporting or seeking out health servic",0
5,There's nothing more simple and logical when reducing gun violence than reducing guns.,1
6," So serious question pro gun Republicans. Why is it when we have complete control of the ship you guys don't advance hardly any pro gun legislation? Where's the HPA, National Carry Reciprocity? Why did we lose bumpstocks? What's this Take guns first crap? @NRSC",1
7," Red Flag Gun Laws Public Health is at risk , new regulations similar to COVID 2+2=? My question is who the hell gave the CDC any authority to dictate policy whatsoever?",0
8, CAN WE ALL AGREE THAT GUN SPEAKING IN RUSSIAN IS SO FCKNG GOOD ASDFGHJKL MAS NA INLOVE AKO LALO JUSKO #NotMeSeriesEP1  #NotMeSeries # ,0
9," Only thing is, an overwhelming majority of Canadians want less guns in Canada too. To the point of the CPC losing an election over their gun friendly policies. So there's that... #cdnpoli ",1
10," Another week of needless gun deaths.Our inaction on gun safety, ghost guns, and gun violence has created a tragic version of Groundhog's Day.What will it take for us to wake up? ",1
11, Squealius Dealius put a gun to my head and told me to draw boob beltso I used Canadi leche ,0
12," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",1
13,Really? There have been 72 fatalities in rampage school shootings over the last decade. An American student is far more likely to die being struck by lightening than be murdered in a rampage school shooting. ,1
14," UPDATE: Governor Newsom signs SB 264 (Min), which bans gun shows at all state-owned properties ONLY in Orange County.  As CRPA warned the OC Fair Board, this prohibition will destroy their budget while doing NOTHING to fight crime.  CRPA is already preparing the legal challenge! ",1
15, John Oliver on gun safety ,1
16," Murdering babies is NOT a constitutional right. Gun ownership is.Kavanaugh asks if Texas abortion law could be model for bans on gun rights, free speech - Newsweek ",1
17, Anti Palestinian racism so deep that armed Israeli soldiers snatch children from their classrooms and US journos/politicians want to lecture us on humanity and civility. Zionist settler violence is an exemplar of hate but racism conditions Americans to see us as the problem. ,1
18," Paid my last respects to Gen Bipin Rawat, his wife and other personnel of the Armed Forces. India will never forget their rich contribution. ",0
19, Them turn knockout to gun ,1
20,"International Spy Museum in Washington, DC -- where you can learn how to pick a lock or crack a code, and see the Kiss of Death lipstick gun and poison spike assassination umbrella. ",0
21, A skateboard is not an AR-15.,0
22, The majority of Virginians support common sense gun reform. My opponent doesn't. We lose hundreds of Virginians every year to senseless acts of gun violence and we must honor them with action. Virginia needs a Lt. Governor who's not afraid to stand up to the NRA.,1
23," Dear tweeted about Kyle Rittenhouse killing 2 and wounding another in Kenosha, Wisconsin.Why haven't you tweeted about Darrell Brooks, Jr. killing 6 and wounding 61 others in Waukesha, Wisconsin? ",1
24,"Tell me again, how does a gun kill people? I have many guns, not one has ever gotten up, gone to the front porch, and murdered anyone. How many people are killed with knives, spoons, garden tools, abortionists? Yea, you may need to rethink that approach.",1
25," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",1
26, BREAKING: A father in Ohio fatally shoots his 16-year-old daughter after mistaking her for an intruder in their home. His wife says it was a mistake and he just didn't know what was going on.  IF YOU THINK WE NEED REAL GUN LAWS NOW!,1
27, Square Enix Music - FITHOS LUSEC WECOS VINOSEC: FINAL FANTASY VIII - The Man with the Machine GunComposer: Nobuo Uematsu Conductor: Koji HaijimaOrchestrated by: Shiro Hamaguchi ,0
28," It has been 22 years since the Columbine massacre, and the only solution America has come up with to respond to school shootings is to keep practicing what to do during school shootings.Absolutely disgraceful.",1
29, Feds lose the plot on gun crime.These criminals aren't deterred by the Criminal Code when it comes to using guns.The idea they would fear provincial laws or municipal bylaws is beyond naive.,1
30," FDR on radio today 1940:If Great Britain goes down, the Axis powers will control the continents of Europe, Asia, Africa, Australia and the high seas.All of us, in all the Americas, would be living at the point of a gun.We must be the great arsenal of democracy.",0
31,Ashli Babbit is a perfect example of how the right tries to justify things    She climbed through a barricade through a broken window wearing a backpack into an area that had an armed guard protecting high level politicians . And you ask why she was shoot .,0
32, BREAKING: Trump's photo with Kyle Rittenhouse reveals that he has a miniature Mount Rushmore at Mar-a-Lago with his own face carved into it because he thinks he belongs on the monument.  IF YOU THINK THE ONLY PLACE TRUMP BELONGS IS IN PRISON!,0
33, Chipman's declaration that anyone who opposed his nomination supports gun violence gives you some insight into why his nomination was so controversial from the beginning. Same for his claim gun owners don't care about stopping crime or that it's easier to buy a gun than a beer. ,1
34, There were no shootings during Bayou Classic this year. That's a big deal. A win for us all.,1
35, Yup! It's beyond unfathomable.,0
36,"Of the perpetrators of the 10 worst mass shootings in US history, 4 of them are now known to have been domestic abusers. ",1
