weibo_id,weibo_content,标注人S,标注人W,label_sw
4398296065668667,"#全球变暖##当前全球变暖程度两千年未遇#  http://f.us.sinaimg.cn/003buVDvlx07vIPXCxrq010412006FkO0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=37e3fed30081d60f956dbe10b6ff7523&Expires=1564191000&ssig=CffYR9pMXq&KID=unistore,video",1,1,1
4447177713971124,"December 7, 2019 - 16岁瑞典环保活动家 Greta Thunberg 在马德里参加第25届联合国气候变化大会（COP25），西班牙。Greta Thunberg 于11月13日乘坐太阳能游艇从美国弗吉尼亚州出发，历时近4周抵达马德里。12月6日，她参加了当地举行的「FridayForFuture」 @iDaily每日视野 ",3,3,3
4249502812658818,又有谁能想到 我在三十几度的高温下还在犯风湿 还要买膏药贴呢 这个天不开空调要热死 开了空调腿要痛死 大家冬天一定要穿秋裤 好好养生吧[跪了] ,3,3,3
4334803162006830,澳洲热的要死，美国东部冻得要死。中国忽冷忽热……极端气候越来越多#全球气候变化#  See extreme weather across the globe,1,1,1
4247584614420688,听说今天长清温度已经达到42度了 而且学校的宿舍里都装空调了 我就在想我大学四年是怎么度过没有空调的夏天的高温的[费解] ,3,3,3
4122231208311687,回复@驾驭成都味儿:你这角度，我给99分，教练组啥事啊，非要刘背锅?不管你承不承认，架空刘的事实就摆在那，毕竟刘竞聘上总教练才几个月就莫名其妙的在比赛途中被撤换了。这是暂时离开?这暂时苟局长同意吗？暂时多久？一年?十年?,3,1,
4317169459702263,地铁广播开始送圣诞祝福了 小温馨[心][心][心]。 门口为全球变暖论坛准备的冰因为最近降温越结越大[笑cry] 顺便吐槽下#全球变暖# 星球进化多么宏观的课题 人类不过寄居的🐜 是不是太把自己当回事了 如果人类不幸真的毁了星球 也不过是这个星球的宿命而已[吃瓜]#今日贴纸打卡#  ,2,2,2
3989655692854036,/@海大天气: 广东有两个龙卷多发区，一个在珠三角，另一个在雷州半岛。新世纪以来，珠江三角洲由于城市化和工业化发展以至于下垫面性质发生较大变化，以佛山、东莞为中心的龙卷的发生频次有增加的趋势，而由于气候变化，影响雷州半岛春夏季节冷空气平均强度下降，雷州半岛的龙卷发生频次有下降的趋势。,1,3,
4361302375775196,北大城环学术午餐沙龙：从拔尖计划获得的科研训练 主讲：洪松柏，北京大学城市与环境学院自然地理专业2018级博士生，师从朴世龙教授，主要研究方向为土壤科学、气候变化等。 时间：4月15日12:00-13:30 地点：北大逸夫二楼3301室,3,3,3
4374799435992668,北京今天最高温度34℃， 提前进入夏天。 幸好彤妈的百万豪车早有准备， 早早开了空调。[耶][耶]#今日贴纸打卡# ,3,3,3
