,text,label
943,坚决反对和抗议美帝干涉我国内政！//@中国政府网@中国长安网@正义网@法制日报@检察日报@中国警察网@最高人民检察院@人民日报@陈里@东方早报@央视新闻@新华视点@财新网@新京报@罗昌平@中国经营报@徐昕@于建嵘@何兵@财经评论@陈士渠@最高人民法院@政法网络舆情@国家廉政网@国务院公报@CCTV焦点访谈,-2
2814,//@义勇军微尘:美国的厚颜无耻真是惊天地泣鬼神。//@侠骨柔情方恨晚:就这美丽奸还有脸管我们要月壤？美丽奸似乎不懂脸皮是何物～或者可以说美国佬没脸没皮,-2
3334,"【周庭当庭落下眼泪，美国反华议员卢比奥受不了了？】被中国制裁的反华议员又跳出来插手了。北京时间12月3日，美国反华议员卢比奥发推，声援被判入狱10个月的乱港分子周庭。据港媒报道，2日宣判时，周庭闻判即抹泪，并在犯人栏内痛哭。#美国反华议员卢比奥发推声援周庭#

在推文中，卢比奥一如既往地抹 ​​​",0
3871,"美国正式把苏丹从“支持恐怖主义”名单中除名。http://t.cn/A6qcyBzt

📌投选开始！500元大奖等您来： http://t.cn/A6qyiiSn
📌不要错过每天的精彩新闻，点击加入我们的Telegram频道： http://t.cn/A6GkkRrs 
#8视界新闻##8worldnews# ​",-1
1675,"邀请您回答问题""屈服于特朗普淫威也好，不得已选边跟随美国也罢？以无证据安全借口拒绝华为业务的国家，均属于不正常国家？""@@中国政府网@新浪新闻客户端@外交部发言人办公室@央视新闻@新浪军事@参考消息@CCTV4@人民日报l@环球时报@凤凰网 @人民网 @宋忠平 @赵立坚个人微博@CGTN @局座召忠  @胡锡进 ​",-2
3879,"#90后皮雕非遗传承人#
 @周大河BIGRIVER皮雕订制 她要是得了艾滋，米国会向她道歉吗？ ​​​话糙理不糙，就是那么个道理 ​​​",-1
61,#美国48名NBA球员新冠检测阳性# 唉[黑线]早让他们引入中国模式，他们就是不听不信，这下可好了吧。 ​​​,0
849,冲冲冲👏//@拉瓦铀:美国新任副总统原来是支持大麻合法化的呀，太好了～我支持美国毒品合法化[鼓掌][鼓掌][鼓掌] 民主自由搞起来,-1
566,【#美媒称特朗普让官员打压伊朗#】据美媒报道，多名美国官员透露，美国总统特朗普已给其高级顾问们开了“绿灯”，全权委托一些强硬的政府官员，特别是美国国务卿蓬佩奥，让他们在未来几周内随心所欲地对伊朗施加压力或惩罚。 （央视）http://t.cn/A6qhV4JB ​ #大眼看美国# ​,0
4228,//@朱公子·:[话筒]//@费斯FACE:我们家国内好多同学不认识，但是讲真，在美国真的很有名啊[允悲][允悲]关于高定的问题很简单，我们是美国的品牌只走纽约时装周（官方日程表里的品牌），没必要再走巴黎的高定周，marchesa，TF等品牌那么美也没去巴黎走高定周啊,1
3275,美国白宫贸易与产业顾问纳瓦罗（Peter Navarro）12月17日发布题为“完美欺诈：选举违规的六大关键层面”的分析报告，揭示大选中六个摇摆州的异常表现。 报告写道：如果不能在总统就职日之前对这些违规行为进行充分调查，却承认违规行为有效，那么这个国家就会面临再也无法举行公平的总统选举现实风险,0
1663,"【#美国内政部长新冠病毒检测呈阳性#】美国内政部发言人16日说，内政部长戴维·伯恩哈特新冠病毒检测结果呈阳性。
　　发言人尼古拉斯·古德温在一份给美国媒体的声明中说，伯恩哈特目前没有出现感染症状，隔离期间他将继续工作。
　　《华盛顿邮报》报道说，伯恩哈特当天前往白宫参加内阁会议，会前接受 ​​​",0
2320,我参与了@中国警方在线 发起的投票【美国制裁中国一派出所民警，你想说？】，我投给了“我们基层的民警干什么，米国都一清二楚？”这个选项，你也快来表态吧~,-1
2038,//@手策2019: 天天发这个有啥用，人股市节节高//@wu2198:【#美国新冠肺炎超1488万例#】美国约翰斯·霍普金斯大学数据显示：截至美东时间7日16时26分，美国累计新冠肺炎确诊病例达到14888471例，累计死亡病例达到28,0
3717,【#美社区医院人满为患检测阳性也得回家#】美国多地医疗机构因严重的新冠疫情不堪重负。据美媒，一些社区医院不得不将停车场等改成临时病房，但许多确诊患者仍无法住院接受治疗。有患者在社区医院等床位等了7天，还有患者称医院通知其检测结果是阳性，“但他们要我回家，我还得照顾儿子，给他做检测” ​,-1
4247,//@周天寒彻A:@芋头微波  1月14日 20:50 来自 360安全浏览器 #芋头讲历史# 图一为唐寅（1470~1524年）送子观音像，现藏美国菲尔德自然历史博物馆。 图二为“罗马人民的保护者”圣母玛利亚像，绘于16世纪或17世纪，现藏意大利罗马圣安德烈教堂。 只要不脑残，谁都知道谁抄谁。,-1
1304,"【2020年美联储印了美国历史上总货币量的20%】 #美元指数# #现货黄金[超话]#  

很多人问，问什么今年的美股在疫情里表现如此糟糕，黑命贵运动，就业市场的失业率直逼上世纪的大衰退时期，美股为什么还能屡创历史新高？

两个字，印钱！只要美联储疯狂印钱，市场就不会缺少流动性，过量的货币就会推高 ​​​",0
3480,"【拜登组阁名单背后的几大动向】大选投票结束近三周后，美国终于启动了权力过渡程序。23日，美国总务管理局致信美国候任总统拜登表示，总务管理局已经做好了启动政权过渡进程的准备。
http://t.cn/A6Gepeq4 ​",0
1175,🤮//@我是阿册啊:？？？//@俄罗斯田园猫:吐了//@尴尬十级学者:可能有人还不知道美国只有两个州不允许童婚,-1
2652,【#外交部揭反华学者郑国恩炮制谎言4种手法#】12月15日外交部记者会，发言人汪文斌介绍，郑国恩是美国政府成立的极右翼组织成员，也是美国情报机构操纵设立的反华研究机构骨干，以炮制反华谣言、诽谤中国为生。其炮制谎言的手法，一是数据造假，二是无中生有、三是妄加揣测、四是玩弄数字游戏。全文↓  ​,-2
4426,【全国人大常委会发言人：#中方将对等制裁插手香港事务美方人员#】12月9日，针对美国国务院宣布对中国全国人大常委会副委员长进行制裁，#全国人大常委会发言人发表谈话#，强调美方以香港事务为借口粗暴干涉中国内政的行径极其卑劣，是典型的政治霸凌和双重标准，我们予以强烈谴责，表示坚决反对。中方 ​,-1
1548,#新冠病毒疫苗正做好大规模生产准备#我们的疫苗每一步都扎实可靠，每一次放出来消息都清晰明了。不像美国人的选举疫苗，不可靠不明了不地道，玩的套路还很无耻。 ​,-2
2773,"//@斯图卡98:回复@小哇喔哇喔:即使插手，恢复三八线这事也就这么过了。结果当年麦克阿瑟那阵势，明显给中国感觉是今后随时会通过朝鲜进攻中国//@小哇喔哇喔:对啊,本来是朝鲜的内战，小孩子打架大人插什么手啊，还不是美国先登陆的？",-2
4568,//@宝树:坚持登月阴谋论的人可以写质疑文章用各种数据图表让并非内行的人至少看不懂也无法反驳，但从来没法说明为什么同样拥有大量顶级科技专家的苏联既没有指出美国造假，也没有自己也造一个假登月平分秋色，而是傻乎乎地承认失败……,1
4311,长期以来，美国将香港视为反华的桥头堡和情报站，在香港布置安插了大量明暗势力。香港曾是世界上最安全的城市之一，2019年以来却陷入“黑暴”之中，暴徒纵火、打砸、袭警、袭击持反对意见的市民，极端抗议者围攻中联办大楼和香港立法会，侮辱国旗、涂污国徽，“港独”言行甚嚣尘上。大规模有组织的犯罪 ​​​,-1
1831,？//@殆知喵 ://@呢喃的列娜 :没法用电很可怕，美国干碎了巴勒斯坦就是搞毁了电力//@三思逍遥 :多少年没听说过限电了，现在出现这种问题，感觉挺匪夷所思的,-1
567,有西方世界质疑我们夏朝只是文字记录不是真实历史，一些人附和说，西方质疑的没错，我们缺少决定性的历史文物和遗迹。当有人质疑美国登月有无法解释的疑点，存在造假时，那些人又说这是反智。这算不算双重标准？ 双方都能不能少扣发点帽子，真正回到科学探讨中来。有疑点讲疑点，有证据讲证据科学解释,0
891,估计刘菊花和方尔瞻都是不戴口罩，也不穿内裤的//@走马微天下:没毛病，著名科学家方舟子说戴口罩和不戴口罩几乎没有区别！所以，民主的美国人民有不穿内裤的自由，当然也有不戴口罩的自由！[允悲]//@林岳芳:他们是在拿自己的生命开玩笑。[允悲][允悲][允悲],-1
1203,"我分享了【美国分化：城乡与族裔差距拉大，教育不平等埋下社会撕裂种子_中国网客户端】, 快来看吧！ | http://t.cn/A6qMx4fU ​​​",-2
