index,tweet_id,text,label_text,label_code
1,1462568626284863490," I made it through my entire life without needing to own an AR-15, what about you? ",slightly support gun control,1
2,1469083525425119239," Make No Mistake: A primary reason for the GOP's Unwavering Support of Unfettered Gun Owner Rights in the face of widespread USA gun carnage is their desire to heavily arm White Supremacists in America, in anticipation of the #SecondCivilWar Republicans are planning.",slightly support gun control,1
3,1466191604507713537," This is my world - everyday I walk into my classroom and think, Is this the day my family gets the call? It's really not difficult..other countries have done it after far fewer deaths.",strongly support gun control,2
4,1450609284086124545, It's been a year since Nigerian forces opened fire on peaceful #EndSARS protesters at the Lekki toll gate in Lagos. A mother reveals the horror of finding her son amid the carnage of the shootings. CNN's reports. ,irrelevant or no opinion on gun rights/control,-99
5,1475969207867260937," Sexual violence on men & boys by armed soldiers, carries deep social stigma & impedes reporting or seeking out health servic",irrelevant or no opinion on gun rights/control,-99
6,1449836870184148996,There's nothing more simple and logical when reducing gun violence than reducing guns.,strongly support gun control,2
7,1465469003422482436," So serious question pro gun Republicans. Why is it when we have complete control of the ship you guys don't advance hardly any pro gun legislation? Where's the HPA, National Carry Reciprocity? Why did we lose bumpstocks? What's this Take guns first crap? @NRSC",slightly support gun control,1
8,1443345812231266304," Red Flag Gun Laws Public Health is at risk , new regulations similar to COVID 2+2=? My question is who the hell gave the CDC any authority to dictate policy whatsoever?",irrelevant or no opinion on gun rights/control,-99
9,1470154911669055488, CAN WE ALL AGREE THAT GUN SPEAKING IN RUSSIAN IS SO FCKNG GOOD ASDFGHJKL MAS NA INLOVE AKO LALO JUSKO #NotMeSeriesEP1  #NotMeSeries # ,irrelevant or no opinion on gun rights/control,-99
10,1447683371404984322," Only thing is, an overwhelming majority of Canadians want less guns in Canada too. To the point of the CPC losing an election over their gun friendly policies. So there's that... #cdnpoli ",slightly support gun control,1
11,1469451736200974337," Another week of needless gun deaths.Our inaction on gun safety, ghost guns, and gun violence has created a tragic version of Groundhog's Day.What will it take for us to wake up? ",strongly support gun control,2
12,1469083065725198339, Squealius Dealius put a gun to my head and told me to draw boob beltso I used Canadi leche ,irrelevant or no opinion on gun rights/control,-99
13,1440441049227218944," BREAKING: A Republican lawmaker in Missouri is calling for a school superintendent to resign after a teacher used ""This is America,"" a rap song about America's racist past and gun violence, in a U.S. Studies class.  IF YOU SUPPO TEACHERS TEACHING THE COUNTRY'S REAL HISTORY!",slightly support gun control,1
14,1446246075044614146,Really? There have been 72 fatalities in rampage school shootings over the last decade. An American student is far more likely to die being struck by lightening than be murdered in a rampage school shooting. ,slightly support gun rights,-1
15,1447671115208437764," UPDATE: Governor Newsom signs SB 264 (Min), which bans gun shows at all state-owned properties ONLY in Orange County.  As CRPA warned the OC Fair Board, this prohibition will destroy their budget while doing NOTHING to fight crime.  CRPA is already preparing the legal challenge! ",neutral to gun rights/control,0
16,1447671952940937219, John Oliver on gun safety ,neutral to gun rights/control,0
17,1455313921187975169," Murdering babies is NOT a constitutional right. Gun ownership is.Kavanaugh asks if Texas abortion law could be model for bans on gun rights, free speech - Newsweek ",slightly support gun rights,-1
18,1449781753975951360, Anti Palestinian racism so deep that armed Israeli soldiers snatch children from their classrooms and US journos/politicians want to lecture us on humanity and civility. Zionist settler violence is an exemplar of hate but racism conditions Americans to see us as the problem. ,neutral to gun rights/control,0
19,1469424652149833738," Paid my last respects to Gen Bipin Rawat, his wife and other personnel of the Armed Forces. India will never forget their rich contribution. ",irrelevant or no opinion on gun rights/control,-99
20,1477391998583779332, Them turn knockout to gun ,slightly support gun control,1
