,text,label
2,RT Every young person needs to know about their sexual reproductive health and rights to enable them make informed life choices. Great thanks to our dear partners and everyone that ensures that these young people access this information and service. #SafeLoveUG #10AndBold ,0
4,It seems you missed a key sentence. This isnt about abortion but about control. @SteveSchmidtSES,0
5,RT Anti-abortion activists gather in Paris for new round of 'March for Life' LIVE: https://t.co/mnEemz8mDK #Paris #antiabortion #MarchForLife ,0
7,"I am not confusing issues. I am pro-choice. Even cadavers have the right not to share their organs. I have a right to my own body. Incidentally I almost died for my baby and chose to let her live at great cost (she died anyways), but that was MY choice, & that is the whole point.",2
12,"RT Today, nearly 450 Florida clinicians from across the state, spanning the spectrum of care, sent an open letter to state lawmakers with the simple message - abortion bans like #SB146 and #HB5 harm the communities we care for. ",2
17,What gave it away?! I hope yall do know Im a strong support of Roe V. Wade! ,2
22,RT A Pro-Choice Hacking Team Defaced the Texas GOP Website. So We DMd Them via @RollingStone,0
23,Yeah just procreate more kids into poverty so they have miserable lives so you can squeeze cheap labor out of them when they're adults. Shut about abortion or adopt a kid,1
27,"RT any reason that viability outside the womb is a bad determining point for abortion? Anything less than 13 weeks is an abomination since hormones are wreaking havoc on a woman's body for those weeks, and it is not a good time to make big decisions.",-1
28,"You think that ridiculousness is true? Why is Roe v. Wade always on the table in US politics if church and state are separate? From a secular standpoint, access to abortion is important for basic healthcare and safety. Anything else is religion dictating laws.",2
30,RT Texas abortion ruling is a 'disaster' for the rule of law disguised as a 'fig leaf': Laurence Tribe ,0
31,Some states have reporting requirements for abortion providers which includes age of the fetus; procedure used; the patients reason for abortion; fetal heartbeat detection; the method of payment etc. The study providing the 0.39% included 2.4 million aborting women.,0
36,"Abortion clinics, schools,libraries etc you knew that right ?",0
38,"Fetus and Baby are semantics, meaning entirely different things.And because a Dr or Nobel Prize winner says fertilization begins the development of human life does not mean they are saying at any time of z/e/f stages it is a human being or baby or that abortion is murder.",1
44,RT Attorney General Mark Brnovich wants a judge to let him start enforcing a law prohibiting certain abortions despite a federal court ruling which found it unconstitutional. via @azcapmedia,0
45,So you approve of killing millions of innocent humans? The vast majority of these exterminated humans are only guilty of being an inconvenience. If you are pro-abortion you are an evil person.,-2
49,RT Great piece about the history of medication abortion and all the regulations surrounding it. ,0
50,"Abortion is not illegal in Texas , you can have one up to the time of a heartbeat ... thats 2 months , pregnancy test are much cheaper than covid test, if you miss your period, spend the 12 bucks. you just look evil to scream about this law. true story",-1
51,RT Access to medication abortion is an integral part of reproductive freedom! #AbortionIsEssential,2
53,RT Abortion may carry the same trauma and grief as miscarriage for many men and women. Loss is painful. Healing is possible.,0
55,"RT On the first day of session, threats to our reproductive freedom are being advanced in the #mnleg in the form of a Texas-style abortion ban. It is proof of the extremism of MNGOP lawmakers, proof of what they want to impose on us if given the power. We will not allow it. ",2
57,Miscarriage not abortion you dumb fuck. Still didn't read it. Still making excuses. It's not irrelevant it's a woman's bodily autonomy taken away you snake in the grass. I've sent links and you don't even read them. You are to dumb for me to even waste my time with. ,2
58,"RT Reminder: Mexico's Supreme Court Decriminalizes Abortion Menstruating persons in Mexico didnt win this without a fight. They organized, protested and even started riots. Lets go. ",2
61,"Abortion is not a crime, but it will be in Wisconsin if Roe is dismantled. Please sign the petition to #StrikeTheBan and protect abortion: ",2
65,"So Im really glad that you support abortion, and no mask mandates! I love to see a man fighting for womens rights!",2
70,"I'll pick up on the point then. The goal is to make abortion unthinkable. We'd prefer women to not even attempt illegal abortions. However, in the year Roe was decided there were fewer than 100 deaths of mothers in abortions, and more were from legal than illegal.",-2
71,"You do not think there is an actual difference on, say, the issue of abortion rights between the party that nominates Sonia Sotomayor and the party that nominates Amy Barrett?",0
72,"RT Abortion rights led to womens advancements across society & the economy. The data is the data, says Yet in Justice Alitos draft opinion, the justices did not even consider or acknowledge the data about how this will affect women. #Velshi ",2
73,"RT Repro workers have been very clear about whats needed in this moment! Donate to abortion + practical support funds. Sign up to volunteer with your local clinic or fundif it takes them a bit to get back to you, stay steady, stay patient Follow the folks whove been leading! ",2
74,"RT Court On A Hot Tin Roof: Airing Out ""The Stench"" From The Oral Argument Over Abortion ",0
76,"Always put on a condom, reproductive rights are fundamental and women are entitled to their freedom",2
78,"RT You are misinformed if you think that abortion is easy, efficient and non traumatic at any time whatever the circumstances. Educate yourself in the trauma that women feel for many many years after an abortion ",1
79,"""choice"" and ""women's bodies"" are bywords for pro abortion murderers. Don't backpedal now.",-2
81,This isnt the 18th century. People have sex for pleasure not for reproduction. Abortion is healthcare! ,2
83,"RT Oklahoma basically just completely banned and criminalised abortion, with no exception for rape or incest. As usual with the in the last six years, the cruelty is the point. And disrespect for the law, and women. ",2
84,RT Its been discovered that yet another person tasked with reviewing Irelands abortion laws - this time the chair of the process - tweeted support for repeal around the time of the 8th amendment. #gript ,0
86,"RT Since young religious women people are more likely to fail with contraception- this will hurt them the most. Expect more child marriages, and illness from backyard abortion. ",2
88,"Need to rid these money sucking gynos. Theyll its normal, birth control will help you until you need to get something removed. ",0
89,"So what you're saying is you think a person is going to voluntarily remain pregnant for 9 months. Put themselves and their health at risk, for an unwanted pregnancy when abortion is legal and 14 times safer than continuing a pregnancy and giving birth? /1",2
92,It is my business. Like you I once didnt care. Till I found out a child (my daughter possibly) could go to the school and they would take her to a abortion clinic. Not telling the parents or caring if they conceited. Now a medical procedure is being performed on my child.,-1
97,Thats certainly a twist. Nobody wants to think of themselves as pro abortion. We just want our government to equally let people make decisions with the help of their doctors.,1
101,"Im not a clown man. We disagree. Im libertarian on almost all my thoughts, except abortion. Im fervently pro-life and Im not going to apologize for that. I dont find it acceptable for a pregnant woman to do meth. Sorry.",-2
103,Agreed. Most of the arguments I hear for common use abortion all revolve around the fact that the mother doesnt want to be inconvenienced and only thinks about how her decision will affect her,-1
109,"RT Father God, we pray, save the unborn today and we pray end abortion in America in our generation! Arise Lord and save the",-2
110,"RT On #InternationalSafeAbortionDay please consider donating to your local abortion fund, which can be found here. https:",2
114,Disparage much? People rightly accept abortion because we love woman and agree they know what's best for their lives.,2
119,RT Hillary Clinton: Todays Supreme Court opinion will live in infamy as a step backward for womens rights and human rights. ,2
122,"Feminism has managed to smuggle abortion, one of the most aberrant, cruel and inhuman acts against a defenseless and without rights: the human embryo. Opening the debate: genocide of the gestated ",-2
124,"Does the vaccine stop COVID? No, it doesn't. Therefore, it's a personal medical decision. It's equivalent to abortion.",1
127,"RT According to a poll, the abortion debate is motivating voters in 2022 ",0
130,How about teaching women about birth control? Its not that difficult ,-1
141,"I honestly just see a lot of scared people in this thread. It seems like the old Cons think young kids are going to vote Liberal or NDP. topics like abortion, climate change, LGBTQ rights are on young ppls minds. People like Pierre Poilievre are ruining the Fed Cons. Fact",0
142,You can think abortion is horrible and not agree with it and not be a horrible person. You can also be pro choice and not be a horrible person. Too many insults and hatred are thrown around because of differing opinions these days.,0
144,"5th Circuit did NOT uphold the Texas abortion ban. It simply ruled that the DOJ has no standing to sue Texas, which is correct. Maybe the DOJ can file criminal charges against Texas lawmakers for treason. Read my column to understand why: ",0
149,RT i am pro-abortion. i would like to increase the number of abortions to the exact point that everyone who wants one can get it quickly and safely.,2
