,Unnamed: 0,text,label
0,1829,smoking my silly little weed and listening to my silly little tunes this is what life is about.,1
1,1218,"Never thought I would read someone describe a hardened criminal, with white supremacist tattoos, drug dealer who talks about dealing to kids as 'soft white underbelly'",1
2,940,Enforcing cannabis laws 'threatens police legitimacy' #GyoCannabisOrganically #growyourown,1
3,508,"and the fact that Sha'Carri smoked weed intentionally, and we don't know what happened in Valieva's case (athletes get various injections, including vitamin shots regularly), with that being said the investigation is ongoing",1
4,1130,Stage 4 pancreatic cancer patient in Florida oncologist not comfortable w pain meds and sent patients to PM. PM dr said they only do injections and sent him back to oncologist. Yet they stick to the narrative that everyone gets opioids for everything,0
5,2324,Did y'all know that studies show that people are less likely to have sex with strangers when high (weed) as opposed to drunk?,1
6,4152,Weed addict come on dawg 😂😂😂💀🤦🏾‍♂️,1
7,709,Cannabis Science Fair Event Will Showcase Efforts to Expand  mg Magazine CannabisNews ,1
8,2172,"have you seen yourself. ""Intellectual vegetable"" what you guys smokes in that your media outlet must be a strong weed from Kwale",1
9,383,"A federal judge ruled that programs Pfizer wanted to launch to provide copay assistance to Medicare patients would likely violate kickback laws, a controversial notion that has caused numerous drug makers to pay large fines. ",1
10,2211,"NFT GIVEAWAY!! We are giving away a PHAT PANDAZ NFT! To enter... 1 Like, Retweet and Tag 3 People 2 Follow and  This project is backed by a $500 Million Recreational Cannabis Company #NFTGiveaway #NFTs #CannabisCommunity ",1
11,315,"Wow!!! Miss Remini, the lies being perpetrated by this evil organization has me wanting to get back into law enforcement to weed out these soulless being. The whole Shelly Miscavige situation has me scratch it my head. What is wrong with California law enforcement ???",0
12,1225,"Cannabis Apes Yacht Club will be the next Big discovery. WL still Has available slots, respond if interested.",0
13,1146,Sort of thing you would expect with alcohol or cocaine Speed maybe Cannabis usualy causes lethargy and chilled out But yes I agree Ralph no one should be near a weapon on Drugs,1
14,312,MAN I DONT WANNA GO OUT AND SPEND MONEY. ALL I WANNA DO IS SMOKE WEED IN MY HOUSE.,1
15,1017,"RT A good spot on PC O's first day on the Traffic Unit! Moped sighted by #XT14 being ridden erratically in , rider detained and found to be in possession of a large quantity of cannabis, a knuckleduster and is also a disqualified driver. Rider arrested & moped seized. ",1
16,168,I bought half Oz of weed last week and it's all gone already... My tolerance is stupidly high so I'm considering a 5day tolerance break. Question is will 5 days be long enough to bring my tolerance down or do I just buy more dope?,1
17,2244,"I'm off 2 narcotics, 2 nausea meds and anxiety med thanks to cannabis. I was able to get off the j-tube (feeding tube) I had been on for 5 years and it has given me my life back.",1
18,157,"I don't want to mansplain unsolicited middle aged male advice, but if you're looking for big coffee energy, have you considered getting into coffee? You can even weigh out your stash on proper drug dealer scales and everything.",0
19,1784,"What gets me about this debacle is the Depp Stans on here trying to get Heard kicked out of movies the way Depp apparently was, as though it was the abuse allegations and not the years of substance abuse and shitty performances that did that.",0
20,2164,"Well, maybe not ""agenda."" But street dealers have a range of products. It's more likely that someone buying weed from a dealer will be offered other products than if they buy it from a dispensary.",1
21,617,$txtm  Wow ! Buckle up for the ride folks !  #CannabisCommunity #cannabis #CannabisMedicinal #hemp #cannabisindustry ,1
22,624,I just talked to a pillow on the couch next to me about the latest ep of the Staircase for several minutes thinking it was Bill so yeah I had too much weed,1
23,4017,have you ever thought about not smoking weed you drug addict? ,1
24,1635,A little bit of weed and some lucki got me thru harder times than therapy ever did #ongod,1
25,1637,RT The secret for success is drugs isn't it. Business? Coke. Art? Weed/lsd. Weight loss? Coke/weed. Is there anything sober people can do better thaan high folks?,1
26,4238,"RT Why don't we treat substance abuse like what it really is? A mental disorder. Those affected need medical support, not incarceration. ",1
27,2202,the way me and my friends used to listen to this album EVERYDAY and smoke shitty weed and steal home rolled cigarettes from our parents lmfaoo ,1
28,1512,RT It's official: Rio Grande do Norte police have won the War on Drugs ,1
29,22,"NEXT WEEK: ""Drug War Dragnet: Surveillance, Criminalization, and Freedom from Drug War Targeting"" April 27th 12-1:30 EST Keynote with April 28th 12-6pm EST Sessions with Amazing Speakers All Day! RSVP: ",1
30,342,Future archeologists gonna be like ok so is this one a weed pipe or tobacco pipe..wink wink lol,1
31,206,Chilling after a walk at 06:00 followed by helping me weed the front garden by 08:00. ,0
32,1178,We're growing weed in the community garden and giving it away for free! ,1
33,1305,"It's #NationalChocolateDay, so we're taking a moment to celebrate all of the cannabis-infused chocolates on the market. At CannaSafe, we test chocolate cannabis edibles for numerous clients, & our testing ensures that consumers receive safe, reliable products for consumption. ",1
34,275,"""Researchers found that those who exercised not only reduced their pain, but also had more of a type of microbe in their guts that produces anti-inflammatory substances"" #aging #exercise ",0
35,3983,You smoke weed to dull the pain of your willfull ignorance and stupidity. Pendejo,1
36,2341,This run has been beneficial in dialing in what I learned from the first grow. I'll be top dressing the other 4 this weekend with Gaia Green.  #organics #cannabis #growyourown ,1
37,1005,"fr like when am i gonna get a philly cheesesteak, some weed, and a bitch to give me head like- ",1
38,4137,"please stop smoking weed david, you are ruining your life. don't tell me ""you can't get addicted."" addict or not it's making you act in ways i don't like.",1
39,1347,"A Cannabis tax revenue centered around racial and economic justice is more than necessary. To make matters worse, #Virginia landlords are denying applicants with vouchers. #coinsnotcuffs #reparationsnow Check out the data here: ",1
40,2134,12 cannabis brands with excellent packaging - We LOVE your description of Her Highness. Thank you #WeedForWomanKind #PackagingPorn ,1
41,1025,"In his new budget, calls for increased funding to expand access to evidence-based prevention, harm reduction, treatment, and recovery support services, while reducing the supply of illicit drugs like fentanyl. Read more: ",1
42,4202,"RT The anti-drug campaign of the previous Duterte administration was characterized by the killing of thousands of drug suspects, mostly allegedly in armed encounters with law enforcers. | via ",1
43,647,I'm 44. I take an abundance of CBD and THC every day and I look like I am in my 20s. So kudos to you for being prejudiced. Good job   What you're describing is someone who probably uses tobacco products with their marijuana. That is what's causing them to look dirty. ,1
44,1614,I respect it! Honestly he's always been a fave canon character and I do feel fanon does him dirty sometimes so I am HERE this! Weasley is our Ginger Sex God King!,0
45,2206,Girl yesssss and she locked her ass in the apartment. She knows drug addict behavior and was acting accordingly  Shes gonna get her moneys worth one way or another,0
46,306,"And 90% of the time they have a foot/toes kink, 99% of the time they smoke weed",1
47,212,Diversifying is the  but you must learn to weed out the shitcoins influencers pump and dump! One way is to put some money into those and lose it! . It is what tities! ,0
