,text,label
1592,上次看这个视频的时候我刚来美国5个月//@团表哥:最终鬼畜二小姐.avi//@看微博吃瓜普通人:好久不看//@一团树 :原来b会员那题答案是四个汉堡吗……解开了多年的疑惑//@四字网友 :草//@海猫络合物 :邪 恶 原 典 绿 野 酱 达,0
4628,没法反驳//@史老柒: 这解释很冥煮//@苏耷水:中国人都认为平民是战争中最大受害者；但根据美国的影视剧和媒体宣传，在美军发动的战争中，美军兵才是最大受害者。美式反战是：“你看美国兵太可怜了，他们被可怕的战争逼疯了才滥杀无辜。”,1
2944,//@西塘白露:呵呵，舔美拜🈷️党们，努力帮拜登找回1.3万原始录像带，那可是美国最高光时刻，说不定年底还能登月[doge],1
1325,【特朗普将签署美国政府使用人工智能原则的行政令】特朗普于周四签署一项行政命令，为联邦机构使用人工智能制定指导方针。该命令要求各机构准备整个部门的人工智能使用案例清单，并指导白宫为办公用人工智能制定政策指导路线图。（界面） ​,0
4397,//@前科学家张局长:方舟子诈骗安保资金之事败露后，逃到美国，想方设法要证明是中国配不上他。//@DM真DM:他到底咋变成这个弱智的样子的。我是不喜欢他，可以前也没觉得他这么二了吧唧啊,1
4143,[摊手]自私与穷富无关//@南郭刘勃:不一定啊，抗战前的上海，因为日本人不区分苏南人和苏北人，所以更穷的苏北人喜欢去日本人开的厂工作；拉黄鱼车也喜欢拉美国人因为小费给得多。那时大致是生活条件好一些的人国家意识也强一些，赤贫的底层常常被他们骂汉奸。//@内含子: 穷人更容易爱国，一直是这样,0
4785,美国加州萨克拉门托，一群“安提法”追打一名白人至上的“骄傲男孩”……（红脖子战斗力是真的不行） http://t.cn/A6q59HS3 ​,1
1455,"不断有人说，败灯已经胜了，应该接受结果。但看待美国大选，却绝不仅仅是为了结果。
一个是与神同行的人，
一个是地下室的胆小鬼；
一个是只拿1美元薪酬为国家、为国民服务的男人；
一个是一切为了自己的乌克兰通缉犯；
一个是光明正大为自己赢得选票的人， ​​​",0
1,#凤凰新闻#【港媒：在这个领域 中国首超美国成为第一】据香港《南华早报》网站报道，在人工智能专利申请方面，中国现在首次超越美国成为世界第一。在美中爆发科技和贸易战的背景下，这一发展态势提振了中国作为人工智能第二大市...http://t.cn/A6qwRd8k来自@凤凰新闻客户端 ​​​,1
2541,美国其实是共和制，非民主制。//@零落的黄色枫叶:我觉得像索罗斯，扎克伯格，还有很多犹太籍大佬，纯粹是把美国当成一个赚钱的地方，而对美国文化毫无认同感。同时他们又有极高的智商和强大的财力，能看出民主制度的弱点并进行利用和破坏以为自己谋利。,1
