,text,label
4161,RT .charge mom of kindergarten student with drug possession involving fentanyl packets found last week on school property.,0
3024,TSA isn't looking for weed so if you just put it in a container you should be fine,-1
1379,"None of us wants to look at the problem that our very lax, Enabling policies have produced. Allowing unfettered drug abuse & encampments everywhere helps no one. It just Spurs addiction, crime, homelessness, filth, gangs & cartels.",1
1835,I just saw an article a couple days ago that now says studies show use of marijuana can lead to heart conditions I knew there was a motive behind that article somewhere and here it is! Big Pharma trying for reefer madness pt 2 as a cover.,-1
1090,The decision paves the way for the country's oldest cannabis dispensary to open a brand new public weed lounge    ,-1
862,Who believes this bullshit? Utah is a one-party state that consistently rejects the voice of the people! Urahns approve medicinal marijuana leg maybe a little. Utahns approve gerrymandering rules leg ts Hell No!,-1
2083,Abortion has a higher approval rating than any politician we've ever had. Same with cannabis. It's almost as if it's not about what the people want. ,-1
2234,Myles smoking weed at the ripe age of 10 WAS kinda wild.  ,0
1244,Trust yourself before you trust a license doctor drug dealer who blankets all illness,0
2426,Interesting. Im talking about power/authority and youre stuck on a single aspect of that power structure. The USA locks people up for life for weed... makes em unemployeable.. stuck in a cycle of poverty. Is this better or worse?,-1
3865,"Yeah, it does. Pot is a drug and smoking it often makes one an addict.",1
998,How's it Matchday Eve!!? Admin have smoked some marijuana ,0
1911,"The Higher Learning LV Interview: ""The communal aspect of #cannabis is where I find my place. Great minds are coming together and finally feeling safe enough to share their experiences at reputable events such as roundtables.""  ",-1
459,"Ngl I used to be the same Thought weed was the only thing that could help, Try Therapy if you could it might make a big difference ik it did for me.",0
1842,RT Frustrated opioid patients speak out: 'I now buy heroin on the street' | Fox News My mother hung herself in August after her pain management' doctor made some radical changes to her drug protocol. How can we turn a blind eye to this travesty? ,1
2155,Or just shoot heroin. We know more about the effects of heroin than we do Covid19 Vaccine... Heroin afterall was a miracle drug... it was just abused... now it's illegal. ,-1
2767,Locally-grown recreational cannabis is wildly popularat least use that to lure voters #ksleg,-1
2906,"RT Thank you, NY Gov. Hochul & the Office of Cannabis Management for allowing the sale of whole flower. This decision impacts 151k+ medical patients in NY who will now have access to quality & safe whole flower. Action (not talk) from our new Gov! $CURA $CURLF",-2
2188,The owner of south bay skates told my dad and I a story that involved him and D Boon smoking weed behind I believe a church in Pedro at one point in it. You know they were blasting that P.C.D.,0
377,Rubicon Introduces 5 new strains & climate system upgrades to meet increased demand. #Cannabis #Investing ,-1
547,"    Something happened and she needs to live far away from me. I wish I could met her soon, though. Weed? I quit that thing long time ago. How about you?    ",1
526,Weed isn't his only party drug. You can get in trouble for coke and X. Also isn't it kind of funny how that language scared him off. Gee I wonder why,0
4234,RT Antidoping experts disagree on whether trimetazidine could have enhanced Valieva's performance. Marijuana is considered a performance-enhancing drug by the World Anti-Doping Agency and is banned on race days but not outside of competition. ,0
1834,Me too that's why I smoke weed to relax and enjoy the moment,-1
2268,I just find it horrible that there's still (black) people sitting in prison for small marijuana charges just for the shit to be legal now.,-1
2304,"Loyalties ! As wispy as the proverbial, medicinal mary jane .Like the Doobie brothers sang ''l like my weed''",-1
282,I can't wait to smoke weed and stare at my boyfriend,-1
477,"Perhaps you aren't aware that fentanyl is and has been used as a chemical weapon. And the US is REGULARLY finding illicit fentanyl in quantities that could wipe out hundreds of innocent people in the hands of a terrorist. Think January 6th, a stadium, a concert.",1
