,text,label
3989,#FIDMPride# #FIDMAlumni# 于2016年毕业的FIDM中国学生Tomy Huang以“Future home”为主题为他的现代奢华街头服饰品牌212°FUN开设了快闪店。为了引起大家对于全球变暖的关注，该商店采用银色隔热材料，这也与他设计作品中使用的金属元素相呼应。快闪店将持续开放到8月25号，FAM们不要错哦！  地址：726 ,0.0
336,持续高温，傍晚杭州下了大暴雨，终于可以不开空调了 最近的生活记录来啦 明天又是周一了哦，心情有点沉重？哈哈哈 #老林de照片日记##照片日记# ,2.0
1971,中国应该考虑移都中部靠近河南，交通便利，海拔三百米以上，无地震的地方。上海海拔太低。《海平面持续上升，11座可能“消失”的城市》随着全球气候变暖，两极冰盖融化日益加剧，美国国家海洋和大气管理局在2017年曾发布报告指出，到2100年，全球平均海平面上升0.3至2.5米。,0.0
1849,一直都说温室效应  很多动物都无处可逃 可是要怎么做呢 作为普通人的我们要怎么做呢 政府或者专业的组织机构应该要给出具体建议的呀 大家都忙着挣钱 活着 忘了以后要怎么办😱 ,0.0
154,《热》 文/雄鹰1A 艳阳高照热汗流， 气温升至三十六。 湖水冒泡散蒸汽， 鱼虾不煮自然熟。 太阳被谁转基因， 发起飚来象疯狗。 温室效应已凸显， 保护环境利千秋。 ,0.0
3074,不知道为什么就是情绪有点低落 可能一个月那么几天的原因吧 莫名其妙的不开心 宁愿待在这高温32度的室外 也不想在空调房内待上一秒 说不出的不愉快 就是有点难过 有点想哭 ,2.0
4148,一看到《全球风暴》的片名，就让我热血沸腾，酷似当年的《后天》在全球变暖的大背景下，极端天气气候事件多发频发，更需要人们去了解气象，约约约，就爱灾难片。[草泥马]@少年轻狂亦多情- @YJ沐枫 @WinTone张Sir,0.0
592,气候再恶化下去，地球可真不适应人类的。 //@孟山都中国:#孟·精选#面对气候变化，人人有责！孟山都公司近日联合美国农业部，为当地农民捐资160万美元，并为农民提供专业知识、技术和资源，帮助农民更好地量化碳减排耕作方式带来的收益。[话筒]减少碳排放，降低气候变化风险，从农业做起！[给力],0.0
3342,来腐国读书之后才意识到海洋性气候“温和多雨”4个字要怎么理解，现在整理衣柜还要纠结毛衣收不收；冬衣收完后衣柜空了一大半[汗]所以其实来英国的目的不是读书，是抵抗寒冬争取进化成过冬的小松鼠；想想11月灰蒙蒙阴冷潮湿的天气，再想想那时候对春天的渴望，只能说…人的求生意志和自我欺骗真是可怕,2.0
3584,这种天气坐公车，不知道司机不开空调的原因是想蒙死新冠还是想闷死我，30几度的高温，车里人多全部戴着口罩，之前说开窗通风，开窗就算了，问题是也没见开窗[黑线]一早出门就闷成🐶 ,2.0
4227,#三亚身边事# 【三亚通报2017年度节能考核结果：三亚湾喜来登度假酒店、海棠湾9号酒店被通报批评[话筒]】按照《中华人民共和国节约能源法》、《海南省节约能源条例》和《海南省“十三五”节能减排综合工作实施方案》、《海南省应对气候变化及节能减排工作领导小组办公室关于印发2017年度省重点用能单位 ,2.0
207,巨大的悲哀。 相比于非洲国家，南太平洋岛国好像更不幸，因为气候变化带来的落差。 从2000年之前的世外桃源的生活，到被迫与世代相依的土地故乡剥离、时刻面对着不可预测的极端天气的危险、眼看着熟悉的文化生活方式突然消失、吃下其他无环境保护意识的人造成的恶果……,0.0
2061,电影不错，关注气候变化导致的地球灾难，看看今年的加州大火，那个场面以为是在电影中。非常值得一看的电影。虽然吴彦祖同志戏份不多，但是谁叫他那么帅呢！[可爱] ,0.0
4016,可不是嘛 真low//@溫热時雨_:那不然呢，糊了多少年了才靠卖腐火了几个月就忘记了自己是谁，作为爱豆没有业务能力作为演员没演技，天天营销碰瓷撕逼，就你们这营销手段艹出来的热度当然是我家脚踏实地低调小孩比不了的,2.0
4652,据说从明天开始，将出现连续高温天气！所以，冰箱里冰红茶（√），雪糕（√），西瓜（明天早上买）；wifi（√），凉席（√），空调（√），万事俱备……明天上班#大小狐狸[超话]# ,2.0
