,text,label
129,资本主义的窗口必须堵上！//@深夜一只猫:政治气候变化的外部化呈现,2.0
486,关于子族和姬族，他们都有迁徙史，按目前的证据，子族更像本地族，姬族是迁入族。但如此同时还有大量的本地族。  姬族作为迁入族在中国实行的也的确是种族主义奴隶制和封建制相结合的制度。随着主奴一体化，两百多年这个体制就崩溃了。   大量的证据又显示子族和姬族是农耕族。那个时代肯定是气候变化 ,2.0
237,//@舍予aka舒:？？？//@梨形阿房:？//@哆啦A纶:咋了呀这是//@Mia丸子1120:[衰]//@M大王叫我来巡山: //@江南大野花://@中国鲸类保护联盟:全球最大的镍和钯生产商诺里尔斯克镍业公司的一个发电厂燃油箱，上周五坍塌了...目前认为原因是【气候变暖导致北极冻土层融化】且因为地理位置和油污量，清理工作将,0.0
2791,【方和圆简报】美好的一天，从读报开始，7月26号，己亥年六月廿四，星期五，工作愉快，幸福生活。 1、权威研究：当前全球变暖程度两千年未遇  98%地区现2000年来最高气温；  2、微信内测公众号新功能：用户可批量屏蔽长时间未读订阅号；  3、随机抽查20个订单全是不合规车辆！滴滴上海分公司被罚20万元 ,0.0
1909,#复旦·科研新动态# 【环境科学与工程系王戎课题组在能源与气候变化领域取得重要进展】复旦大学环境科学与工程系王戎课题组与美国斯坦福大学、加拿大滑铁卢大学合作，在经典的经济增长理论中引入技术因子，通过结合历史数据与经济模型，揭示了能源成本的诱导机制如何调节能源效率变化，结合气候模型，证 ,2.0
3752,#COP25绿色WE来[超话]##Youth4Climate气候变化青年行动##世青气候行动#  保护环境，功在当代，利在千秋 让我们共同行动，还家园碧水蓝天 ,0.0
4697,"在这里，他们与海平面上涨抗争！生活在太平洋岛屿上的原住民每天都面对着海平面上升、剧烈的风暴以及其它气候变化可能带来的挑战，学会如何应对这些挑战已然成为他们生活中必不可少的部分。位于萨摩亚以北有一个名为托克劳的小型波利尼西亚人社区，为应对海平面上涨，整个岛屿被五米高的混凝土墙封闭起 <a href=""/single?id=4075840855809605""...全文",0.0
2812,看了评论才知道这么严重，而且还是因为气候变暖引起的。。。//@风息神泪:今年………[拜拜]//@林瘦猫: 天灾人祸不单行。//@纯情瓜娃:补充几点：①泄露发生后两天俄zf才知道，普京震怒②俄当地的州长是刷社交媒体的时候发现我这石油漏了③泄漏的石油已经漂了12公里，清理需要5到10年的时间[拜拜],0.0
3917,"#天气转热如何安全使用空调##消防云课堂# 消防知识#【注意打开空调的正确姿势！】气温渐高，又到了使用空调的高峰期，消防蜀黍在此提醒大家，每年，空调因高温、老化、短路、气流不畅等原因“冒火”现象并不少见。莫让空调成了夏日里的“危机”，防患于未然，避免空调火灾！  http://f.video.weibocdn.com/001sASi6gx07DnRuWRc4010412007fE20E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1589930417&ssig=6BP1efPlV%2F&KID=unistore,video",2.0
1032,[礼物] 霍金警告说：我们人类如果想生存就必须离开地球。由于气候变化，污染，森林砍伐，瘟疫及人口增长，100年内人类必须找到另一个可居住的星球#科学##科技与生活#,0.0
4719,今年东北这边卖空调太火爆了，三月还没热就开始排号安装。可能是因为以前一直夏天都不太热没怎么卖，去年一直被高温控制了一个多月，比南方还要热，好多老人中暑，挺过了去年夏天，老人们开始担忧起来，今年就都来买空调了。[汗] ,2.0
436,//@宝榛的动物园儿ww:有空调跑得飞快[doge][doge][doge]//@动物园之Zookeeper:#饲养员的日常##南京市红山森林动物园##考拉#在高温时需要返回内室吹空调的哦～别看人家睡姿懒洋洋，下地跑起来飞快[doge][doge][doge] 【强行科普】考拉，也叫树袋熊/无尾熊，Koala（Phascolarctos cinereus），易危（VU）,2.0
4682,#火速头条##今日回顾#【视频：民主党总统候选人如何看待美国最大的地缘政治威胁？】- 在昨天进行的2020总统大选民主党党内初选首场电视辩论中，十名候选人对美国面临的最大地缘政治威胁进行了陈述。其中，中国被四人提及，核问题、气候变化和俄罗斯对美国民主制度的破坏也是候选人们关注的焦点，还有人 ,0.0
3256,最近的高温天，都说没有空调简直不能活命。20年前没空调的夏天，我们不是也过来了嘛。20年前的我还在读小学，你们都在干嘛呢？想知道钟小哇当时在干嘛[思考]@钟汉良  #钟汉良视觉艺术展##钟汉良幸福乡村图书馆##钟汉良小太阳向阳计划# ,2.0
2084,#资讯分享# 【调查：冰川融化将令北极熊数量下降三分之一】一项研究发现，由于北极冰川融化带来的负面影响，在未来35年至41年内，北极熊的数量将大幅下跌三分之一，从2.6万头降至1.7万头。国际自然保护联盟濒危物种红色名录也已将北极熊列为“脆弱”物种。全球气候变化导致的海冰的减少直接阻碍了北极    ...展开全文c,0.0
243,全球变暖，十足的伪科学。一些傻逼还跑来教训我，是你丫无知。  目前他们拿得出的全部“证据”与理论，就是一个计算机模拟图。而一个课题如果只能搞出一个计算机模型，表示这个研究要么还处在幻想阶段，无法入门。要么，它本来就是伪科学。  ,1.0
345,#9岁中国女孩联合国演讲#2019年#联合国气候变化大会#正在西班牙马德里举行，9岁中国女孩在主题为“青年的力量·青年的责任”的中国角全程英文倡议保护熊猫惊艳四座，掌声如雷。#圆梦一代# ,0.0
2011,终于还有人记得那还在高速路上一路狂奔中的全球环境变化…但是在全球疫情、逆全球化危机和大国争端加剧背景下，加强国际合作、积极应对气候变化几乎已经成为一个不可能完成的任务…未来出现怎样的极端天气气候事件都不要太过惊讶了。,0.0
1964,"我分享了【科学家终于找到了全球气候变暖的真凶了, 它并不是二氧化碳!】, 快来看吧！ | 看来有不少的伪科学家。 ",0.0
1330,低油价期加大囤油 和顺石油业绩有望“富得流油” “因为天气高温开空调油耗增加，每年的7月份到10月份是加油站的传统销售旺季。”6月16日，和顺石油董事长赵忠在公司2019年度股东大会上回答《证券日报》记者提问时说道。,2.0
3826,冰面开化变成浮冰，原本季节变化的现象给我的感觉比起“いつでもひんやり冷たい”，如今更多想到的是全球变暖下的北冰洋漂流、难以捕食的北极熊。希望它们都能好好的，非常喜欢这个作品。,0.0
